Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,inst25,inst26,inst27,num_academia,num_company
318,Learning Regional Attention Convolutional Neural Network for Motion Intention Recognition Based on EEG Data,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Center for Excellence in Brain Science and Intelligence Technology,,,,,,,,,,,17.0,0.0
319,DACE: Distribution-Aware Counterfactual Explanation by Mixed-Integer Linear Optimization,Hokkaido University, Fujitsu Laboratories Ltd, Fujitsu Laboratories Ltd,Tokyo Institute of Technology,Hokkaido University,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0
320,KGNN: Knowledge Graph Neural Network for Drug-Drug Interaction Prediction,Hunan University of Science and Engineering,Hunan University of Science and Engineering,Chongqing University,Hunan University of Science and Engineering,Hunan University of Science and Engineering,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
321,Triple-to-Text Generation with an Anchor-to-Prototype Framework,Tsinghua University,University of Washington,Tsinghua University,University of Washington,Tsinghua University,University of Washington,Tsinghua University,University of Washington,Sun Yat-sen University,,,,,,,,,,,,,,,,,,,9.0,0.0
322,Hierarchical Multi-task Learning for Organization Evaluation of Argumentative Student Essays,Capital Normal University,Capital Normal University,Capital Normal University," State Key Laboratory of Cognitive Intelligence, iFLYTEK Research, Chin",Chinese People's Armed Police Force Academy,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0
323,Progressive Domain-Independent Feature Decomposition Network for Zero-Shot Sketch-Based Image Retrieval,Xidian University,Xidian University,Xidian University,Xidian University,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
324,Detecting Adversarial Attacks via Subset Scanning of Autoencoder Activations and Reconstruction Error,IBM Research - Africa,IBM Research - Africa,IBM Research - Africa,IBM Research - Africa,IBM Research - Africa,IBM Research - Africa,University of Minnesota,,,,,,,,,,,,,,,,,,,,,7.0,0.0
325,Survey on Feature Transformation Techniques for Data Streams,Laboratoire Traitement et Communication de l’Information,Institut Polytechnique de Paris,Laboratoire Traitement et Communication de l’Information,Institut Polytechnique de Paris,University of Waikato,University of Paris-Saclay,PSL Research University," Inria, Paris, Franc",University of Waikato,,,,,,,,,,,,,,,,,,,4.0,0.0
326,Dual Policy Distillation,Texas A&M University,Texas A&M University,Texas A&M University,Texas A&M University,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
327,Hybrid Learning for Multi-agent Cooperation with Sub-optimal Demonstrations,Institute of Automation,Peking University,Institute of Automation,Institute of Automation,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
