Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,inst25,inst26,inst27,inst28,inst29,inst30,inst31,inst32,inst33,inst34,num_academia,num_company
128,First-Order Rewritability of Temporal Ontology-Mediated Queries,Free University of Bozen-Bolzano,University of London,Free University of Bozen-Bolzano,Free University of Bozen-Bolzano,University of Liverpool,University of London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
129,Exploiting the Structure of Unsatisfiable Cores in MaxSAT *,University of Lleida,Délégation Paris 5,University of Lleida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
130,Compiling Constraint Networks into Multivalued Decomposable Decision Graphs,French National Centre for Scientific Research,French National Centre for Scientific Research,French National Centre for Scientific Research,French National Centre for Scientific Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
131,Qualitative Reasoning about Directions in Semantic Spaces,Cardiff University,Australian National University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
132,Realizability of Three-Valued Semantics for Abstract Dialectical Frameworks,Leipzig University,Deutsche Forschungsgemeinschaft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
133,Literal-Based MCS Extraction *,University College Dublin,University College Dublin,University College Dublin,Instituto de Engenharia de Sistemas e Computadores Investigação e Desenvolvimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
134,Nonnegative Matrix Tri-Factorization with Graph Regularization for Community Detection in Social Networks,Carnegie Mellon University,Stony Brook University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
135,Auxiliary Information Regularized Machine for Multiple Modality Feature Learning *,Nanjing University,Nanjing University,Nanjing University,Nanjing University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
136,Detecting Emotions in Social Media: A Constrained Optimization Approach,Georgia Institute of Technology,Georgia Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
137,Scalable Graph Hashing with Feature Transformation,Nanjing University,Nanjing University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
138,Feature Selection from Microarray Data via an Ordered Search with Projected Margin,Universidade Federal de Juiz de Fora,Universidade Federal de Juiz de Fora,Universidade Federal de Juiz de Fora,Universidade Federal de Juiz de Fora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
139,Discriminative Unsupervised Dimensionality Reduction,The University of Texas at Arlington,The University of Texas at Arlington,The University of Texas at Arlington,The University of Texas at Arlington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
140,Characterization of Scoring Rules with Distances: Application to the Clustering of Rankings *,Sorbonne University,French National Centre for Scientific Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
141,Maximal Cooperation in Repeated Games on Social Networks,Duke University,Duke University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
142,Computing Horn Rewritings of Description Logics Ontologies,University of Oxford,University of Oxford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
143,Polynomial Rewritings for Linear Existential Rules,University of Oxford,University of Calabria,University of Vienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
144,On the Balance of Meter Deployment Cost and NILM Accuracy,Tsinghua University," Hulu LLC. Beijing, Chin",Tsinghua University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
145,Using a Recursive Neural Network to Learn an Agent's Decision Model for Plan Recognition,Université de Sherbrooke,Université de Sherbrooke,Université de Sherbrooke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
146,Mining Definitions from RDF Annotations Using Formal Concept Analysis,University of Lorraine,University of Lorraine,University of Lorraine,University of Lorraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
147,Optimizing Locally Linear Classifiers with Supervised Anchor Point Learning,Institute of Automation,Western Sydney University,Institute of Automation,Institute of Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
148,Semi-Orthogonal Multilinear PCA with Relaxed Start,Hong Kong Baptist University,Hong Kong Baptist University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
149,Epistemic Quantified Boolean Logic: Expressiveness and Completeness Results,University of Michigan–Ann Arbor,University of Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
150,Exploiting Separability in Multiagent Planning with Continuous-State MDPs (Extended Abstract) *,University of Lyon System,University of New Hampshire,"Inria -LORIA Vandoeuvre-lès-Nancy, Franc","Inria -LORIA Vandoeuvre-lès-Nancy, Franc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
151,Firefly Monte Carlo: Exact MCMC with Subsets of Data,Harvard University,"School of Engineering and Applied Sciences Harvard University Cambridge, MA 0213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
152,AGM Revision of Beliefs about Action and Time,University of Luxembourg,University of Luxembourg,Utrecht University,University of Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
153,An Ontology Matching Approach Based on Affinity-Preserving Random Walks,Peking University,Peking University,Peking University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
154,Linking Heterogeneous Input Features with Pivots for Domain Adaptation,Central China Normal University,Central China Normal University,University of Southern California,Central China Normal University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
155,Efficient Operations on MDDs for Building Constraint Programming Models,Nice Sophia Antipolis University,Nice Sophia Antipolis University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
156,A Subspace Learning Framework for Crosslingual Sentiment Classification with Partial Parallel Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
157,Social Image Parsing by Cross-Modal Data Refinement,Renmin University of China,King Abdullah University of Science and Technology,IBM Research - China,Peking University,Renmin University of China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
158,Generalized Transitive Distance with Minimum Spanning Random Forest,Carnegie Mellon University,Peking University,Carnegie Mellon University,Institute for Infocomm Research,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
159,Merging in the Horn Fragment *,"Institute of Information Systems Vienna University of Technology, Austri","Institute of Information Systems Vienna University of Technology, Austri","Institute of Information Systems Vienna University of Technology, Austri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
160,Uncovering Hidden Structure through Parallel Problem Decomposition for the Set Basis Problem: Application to Materials Discovery,Cornell University,Stanford University,Cornell University,Cornell University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
161,Multi-Modality Tracker Aggregation: From Generative to Discriminative,Wenzhou University,Zhejiang Chinese Medical University,Wenzhou University,Wenzhou University,Wenzhou University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
162,Cross-Domain Collaborative Filtering with Review Text,Beijing Institute of Technology,Beijing Institute of Technology,Microsoft Research Asia (China),Beijing Institute of Technology,Beijing Institute of Technology,Beijing Normal University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0
163,Batch Reinforcement Learning for Smart Home Energy Management,Universidade de São Paulo,Universidade de São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
164,Fast Combinatorial Algorithm for Optimizing the Spread of Cascades,University of Massachusetts Amherst,University of Massachusetts Amherst,University of Massachusetts Amherst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
165,Greedy Structure Search for Sum-Product Networks,Brigham Young University,Brigham Young University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
166,AskWorld: Budget-Sensitive Query Evaluation for Knowledge-on-Demand,Carnegie Mellon University,Indian Institute of Science Bangalore,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
167,Introspective Forecasting,Open University of Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
168,Open Domain Short Text Conceptualization: A Generative + Descriptive Modeling Approach,University of Illinois Urbana-Champaign,Zhejiang University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
169,Revenue Maximization Envy-Free Pricing for Homogeneous Resources,University of L'Aquila,University of Warsaw,University of Warsaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
170,Bonus or Not? Learn to Reward in Crowdsourcing,Harvard University,Harvard University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
171,Weakly Supervised RBM for Semantic Segmentation,Institute of Automation,Institute of Automation,Institute of Automation,Institute of Automation,Institute of Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
172,On Forgetting Postulates in Answer Set Programming,University of Science and Technology of China,University of Alberta,Guizhou University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
173,Computing Social Behaviours Using Agent Models,University of Melbourne,University of Melbourne,University of Melbourne,University of Melbourne,University of Melbourne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
174,Revisiting Gaussian Process Dynamical Models,East China Normal University,East China Normal University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
175,Correcting Covariate Shift with the Frank-Wolfe Algorithm,University of Alberta,University of Alberta,University of Alberta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
176,Semantic Topic Multimodal Hashing for Cross-Media Retrieval,Xidian University,Xidian University,Xidian University,Xidian University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
177,Imaging Time-Series to Improve Classification and Imputation,"University of Maryland, Baltimore","University of Maryland, Baltimore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
178,Solving MDPs with Skew Symmetric Bilinear Utility Functions,Sorbonne University,French National Centre for Scientific Research,Sorbonne University,French National Centre for Scientific Research,Sorbonne University,French National Centre for Scientific Research," SYSU-CMU Joint Institute of Engineering, Guangzhou, Chin",SYSU-CMU International Joint Research Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
179,"CEIL: A Scalable, Resolution Limit Free Approach for Detecting Communities in Large Networks",Indian Institute of Technology Madras,Indian Institute of Technology Madras,"Ericsson Reasearch Chennai, Indi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
180,A Privacy Preserving Algorithm for Multi-Agent Planning and Search,Ben-Gurion University of the Negev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
181,On the Resiliency of Unit Propagation to Max-Resolution,Aix-Marseille University,Aix-Marseille University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
182,Statistical Regimes and Runtime Prediction,University College Cork,University College Cork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
183,Expressive Rule-Based Stream Reasoning *,"Institute of Information Systems, Vienna University of Technology Favoritenstraße 9-11, A-1040 Vienna, Austri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
184,Characterization of the Expressivity of Existential Rule Queries,TU Dresden,TU Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
185,Probabilistic Reasoning with Inconsistent Beliefs Using Inconsistency Measures,University of Hagen,University of Koblenz and Landau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
186,Partial Grounded Fixpoints,"Department of Computer Science, KU Leuven Celestijnenlaan 200A, 3001 Heverlee, Belgiu","Department of Computer Science, KU Leuven Celestijnenlaan 200A, 3001 Heverlee, Belgiu","Department of Computer Science, KU Leuven Celestijnenlaan 200A, 3001 Heverlee, Belgiu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
187,Combining Existential Rules and Description Logics,Laboratoire Traitement et Communication de l’Information,Laboratoire Traitement et Communication de l’Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
188,Cognitive Modelling for Predicting Examinee Performance,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0
189,Reasoning with Style,Universitat Politècnica de Catalunya,French National Centre for Scientific Research,French National Centre for Scientific Research,French National Centre for Scientific Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
190,Optimal Route Search with the Coverage of Users' Preferences,Teesside University,University of Electronic Science and Technology of China,Queen's University Belfast,Teesside University,Teesside University,University of Electronic Science and Technology of China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
191,Ranking Preserving Hashing for Fast Similarity Search,Purdue University West Lafayette,Purdue University West Lafayette,Purdue University West Lafayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
192,Maximizing the Coverage of Information Propagation in Social Networks,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,Simon Fraser University,University of North Carolina at Charlotte,University of Science and Technology of China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
193,Representation Learning for Measuring Entity Relatedness with Rich Information,University of Computer Studies Yangon,Tsinghua University,University of Computer Studies Yangon,Tsinghua University,Jiangsu Normal University,University of Computer Studies Yangon,Tsinghua University,Jiangsu Normal University,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0
194,ASAP-UCT: Abstraction of State-Action Pairs in UCT,Indian Institute of Technology Delhi,Indian Institute of Technology Delhi,Indian Institute of Technology Delhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
195,Online Fair Division,UNSW Sydney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
196,Using Social Media to Enhance Emergency Situation Awareness: Extended Abstract *,Commonwealth Scientific and Industrial Research Organisation,Commonwealth Scientific and Industrial Research Organisation,Eyegaze (United States),Commonwealth Scientific and Industrial Research Organisation,Commonwealth Scientific and Industrial Research Organisation,Commonwealth Scientific and Industrial Research Organisation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
197,Secure Routing in Wireless Sensor Networks via POMDPs,Nanyang Technological University,Nanyang Technological University,University of Liverpool,University of Amsterdam,Rio Tinto (United Kingdom),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
198,Reasoning about Connectivity Constraints,French National Centre for Scientific Research,French National Centre for Scientific Research,Université de Toulouse,Data61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
199,Joint Learning of Constituency and Dependency Grammars by Decomposed Cross-Lingual Induction,Institute of Computing Technology,Institute of Computing Technology,Dublin City University,National Electronics and Computer Technology Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
200,Equivalence Results between Feedforward and Recurrent Neural Networks for Sequences *,"Department of Mathematics University of Padova, Ital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
201,Reactive Integrated Motion Planning and Execution,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
202,Lightweight Temporal Description Logics with Rigid Roles and Restricted TBoxes,University of Bremen,University of Bremen,University of Bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
203,Simplifying A Logic Program Using Its Consequences,University of Science and Technology of China,Sun Yat-sen University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
204,Semi-Universal Portfolios with Transaction Costs *,East China University of Science and Technology,Fudan University,Fudan University,East China University of Science and Technology,Wuhan University,Fudan University,Fudan University,Singapore Management University,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0
205,Optimal Pricing for the Competitive and Evolutionary Cloud Market,University of Nottingham Ningbo China,Microsoft Research (United Kingdom),University of Nottingham Ningbo China,Microsoft Research (United Kingdom),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0
206,Scalable Probabilistic Tensor Factorization for Binary and Count Data,Duke University,Duke University,Duke University,Duke University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
207,Inverse Reinforcement Learning in Relational Domains,Institute for Nuclear Research,Charles de Gaulle University Lille III,Supélec,Charles de Gaulle University Lille III,Institute for Nuclear Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
208,A MaxSAT Algorithm Using Cardinality Constraints of Bounded Size *,University of Calabria,University of Calabria,University of Calabria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
209,Building Hierarchies of Concepts via Crowdsourcing,University of Washington,University of Washington,ETH Zurich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
210,Dissecting German Grammar and Swiss Passports: Open-Domain Decomposition of Compositional Entries in Large-Scale Knowledge Repositories,Google (United States),"Google Inc. Brandschenkestrasse 110 8002 Zurich, Switzerlan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
211,Dealing with Generic Contrariness in Structured Argumentation,University of Brescia,University of Brescia,Zhejiang University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
212,Compatible-Based Conditioning in Interval-Based Possibilistic Logic,University of Lille Nord de France,UArtois,Allensbach Institute,The University of Texas at El Paso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
213,Kernel Contraction and Base Dependence: Redundancy in the Base Resulting in Different Types of Dependence,Simon Fraser University,Simon Fraser University,Simon Fraser University,University of Alberta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
214,Efficiently Finding Conditional Instruments for Causal Inference,University of Lübeck,Utrecht University,University of Lübeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
215,Decomposition of the Factor Encoding for CSPs,National University of Singapore,National University of Singapore,National University of Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
216,Finding Diverse Solutions of High Quality to Constraint Optimization Problems,Worcester Polytechnic Institute,Laboratoire d'informatique de Nantes Atlantique,Worcester Polytechnic Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
217,Non-Myopic Negotiators See What's Best,Carnegie Mellon University,Microsoft Research (United Kingdom),Microsoft Research (United Kingdom),Microsoft Research (United Kingdom),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0
218,Stick-Breaking Policy Learning in Dec-POMDPs,University of Cambridge,University of New Hampshire,Duke University,Duke University,University of Cambridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
219,Quantized Correlation Hashing for Fast Cross-Modal Search,Sun Yat-sen University,Peking University,National University of Defense Technology,Microsoft Research Asia (China),Sun Yat-sen University,Sun Yat-sen University,Peking University,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0
220,Convergence of Common Proximal Methods for 1 -Regularized Least Squares,University of Minnesota,University of Minnesota,University of Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
221,Mobility Profiling for User Verification with Anonymized Location Data,Institute for Infocomm Research,Portuguese Environment Agency,Advanced Digital Sciences Center,Advanced Digital Sciences Center,Institute for Infocomm Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
222,Symbolic Model Checking for One-Resource RB±ATL †,University of Nottingham,University of Nottingham,University of Nottingham,Middlesex University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
223,Salient Object Detection via Augmented Hypotheses,"Department for Technology, Innovation and Enterprise Singapore Polytechni","Department for Technology, Innovation and Enterprise Singapore Polytechni",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
224,A Crowdfunding Model for Green Energy Investment,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
225,The Complexity of MAP Inference in Bayesian Networks Specified Through Logical Languages,Universidade de São Paulo,Queen's University Belfast,Universidade de São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
226,Finite Abstractions for the Verification of Epistemic Properties in Open Multi-Agent Systems,University of Évry Val d'Essonne,University of Liverpool,"Department of Computing Imperial College London, U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
227,Image Feature Learning for Cold Start Problem in Display Advertising,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology," Tencent Inc., Shenzhen, Chin"," Tencent Inc., Shenzhen, Chin"," Tencent Inc., Shenzhen, Chin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
228,Nonparametric Independence Testing for Small Sample Sizes,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
229,Agile Planning for Real-World Disaster Response,University of Science and Technology of China,University of Southampton,University of Nottingham,University of Nottingham,University of Nottingham,University of Southampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
230,Context-Independent Claim Detection for Argument Mining,University of Bologna,University of Bologna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
231,Trust-Sensitive Belief Revision,British Columbia Institute of Technology,Mahasarakham University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
232,A Modification of the Halpern-Pearl Definition of Causality,Cornell University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
233,Active Learning from Crowds with Unsure Option," UBRI, School of Computer Science and Technolog",University of Science and Technology of China," UBRI, School of Computer Science and Technolog",University of Science and Technology of China,Nanjing University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
234,Analysis of Sampling Algorithms for Twitter,Purdue University West Lafayette,IBM (India),IBM (India),IBM (India),IBM (India),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0
235,Adaptive Sharing for Image Classification,University of Chinese Academy of Sciences,University of Chinese Academy of Sciences,Chinese Academy of Sciences,Peking University," Cooperative Medianet Innovation Center, Shanghai, Chin",University of Chinese Academy of Sciences,Chinese Academy of Sciences,Chinese Academy of Sciences,University of Macau,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
236,Sketch the Storyline with CHARCOAL: A Non-Parametric Approach,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
237,Multi-Graph-View Learning for Complicated Object Classification,University of Technology Sydney,Florida Atlantic University,China University of Geosciences,University of Technology Sydney,Florida Atlantic University,China University of Geosciences,University of Technology Sydney,Florida Atlantic University,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0
238,Optimization of Probabilistic Argumentation with Markov Decision Models,Sorbonne University,"SYSU-CMU Joint Institute of Engineering, Guangzhou, Chin",SYSU-CMU International Joint Research Institute,University College London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
239,How Robust Is the Wisdom of the Crowds?,Tel Aviv University,Tel Aviv University,"Hebrew University and Microsoft Research, Israe",Guangdong Technion-Israel Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
240,Recursive Decomposition for Nonconvex Optimization,University of Washington,University of Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
241,Towards Automatic Dominance Breaking for Constraint Optimization Problems *,Monash University,Monash University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
242,Characterizability in Belief Revision,MTA-SZTE Research Group on Artificial Intelligence,University of Illinois at Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
243,A Top-Down Compiler for Sentential Decision Diagrams,California State University Los Angeles,California State University Los Angeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
244,Probabilistic Inference in Hybrid Domains by Weighted Model Integration,"Dept. of Computer Science KU Leuven, Belgiu",University of Trento,"Dept. of Computer Science KU Leuven, Belgiu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
245,Expansion and Revision for Dung Frameworks *,Leipzig University,Leipzig University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
246,When Are Description Logic Knowledge Bases Indistinguishable? *, Faculty of Computer Scienc,Free University of Bozen-Bolzano,University College London, Faculty of Computer Scienc,Computer Science Department,Free University of Bozen-Bolzano,University College London,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
247,Speedy versus Greedy Search,University of New Hampshire,University of New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
248,Further Connections Between Contract-Scheduling and Ray-Searching Problems *,Sorbonne University,French National Centre for Scientific Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
249,User-Item Connected Documents,Tsinghua University,Tsinghua University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
250,Network Representation Learning with Rich Text Information,University of Computer Studies Yangon,Tsinghua University," HTC Beijing Advanced Technology and Research Center, Chin",University of Computer Studies Yangon,Tsinghua University," HTC Beijing Advanced Technology and Research Center, Chin"," HTC Beijing Advanced Technology and Research Center, Chin",University of Computer Studies Yangon,Tsinghua University," HTC Beijing Advanced Technology and Research Center, Chin",,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0
251,Learning to Hash on Partial Multi-Modal Data,Purdue University West Lafayette,Purdue University West Lafayette,Purdue University West Lafayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
252,Opportunities or Risks to Reduce Labor in Crowdsourcing Translation? Characterizing Cost Versus Quality via a PageRank-HITS Hybrid Model,University of Pennsylvania,Peking University,Academia Sinica,Drexel University,Peking University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
253,Integrated Anchor and Social Link Predictions across Social Networks,Tsinghua University,University of Illinois at Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
254,Semantic Single Video Segmentation with Robust Graph Representation *,Northeastern University,Northeastern University,Northeastern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
255,Learning to Interpret Natural Language Commands through Human-Robot Dialog,The University of Texas at Austin,The University of Texas at Austin,The University of Texas at Austin,The University of Texas at Austin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
256,Graph-Based Inverse Optimal Control for Robot Manipulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
257,Polytree-Augmented Classifier Chains for Multi-Label Classification,Hokkaido University,Hokkaido University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
258,Clustering Dynamic Spatio-Temporal Patterns in the Presence of Noise and Missing Data,University of Minnesota,University of Minnesota,University of Minnesota,University of Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
