Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,num_academia,num_company
720,Structural Hawkes Processes for Learning Causal Structure from Discrete-Time Event Sequences,Guangdong University of Technology,Guangdong University of Technology,Peng Cheng Laboratory,Guangdong University of Technology,Guangdong University of Technology," Huawei Noah's Ark Lab, Huawei, Shenzhen 518116, Chin",Shantou University,,,,,,,,,,,5.0,1.0
721,DAMO-StreamNet: Optimizing Streaming Perception in Autonomous Driving," DAMO Academy, Alibaba Grou",Carnegie Mellon University," DAMO Academy, Alibaba Grou"," DAMO Academy, Alibaba Grou"," DAMO Academy, Alibaba Grou"," DAMO Academy, Alibaba Grou"," DAMO Academy, Alibaba Grou"," DAMO Academy, Alibaba Grou",,,,,,,,,,1.0,7.0
722,Contrastive Learning for Sign Language Recognition and Translation,Nanjing University,Nanjing University,Nanjing University,Nanjing University,Nanjing University,Nanjing University,,,,,,,,,,,,6.0,0.0
723,Contrastive Label Enhancement,Xi'an Jiaotong University,Xi'an Jiaotong University,Xi'an Jiaotong University,Xi'an Jiaotong University,Xi'an Jiaotong University,Xi'an Jiaotong University,,,,,,,,,,,,6.0,0.0
724,Not Only Pairwise Relationships: Fine-Grained Relational Modeling for Multivariate Time Series Forecasting,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,,,,,,,,,,,7.0,0.0
725,IMF: Integrating Matched Features Using Attentive Logit in Knowledge Distillation,Korea Advanced Institute of Science and Technology," NAVER Z Corporation, S. Kore",Sungkyunkwan University,,,,,,,,,,,,,,,2.0,0.0
726,A Low Latency Adaptive Coding Spike Framework for Deep Reinforcement Learning,Zhejiang University,Zhejiang University of Technology,Zhejiang University,Zhejiang Lab,,,,,,,,,,,,,,4.0,0.0
727,Learning Small Decision Trees with Large Domain,Royal Holloway University of London,University of Leeds,University of Leeds,TU Wien,,,,,,,,,,,,,,4.0,0.0
728,G 2 P xy: Generative Open-Set Node Classification on Graphs with Proxy Unknowns,Shenzhen University,Shenzhen University,Sciences en Société,Shenzhen University,Shenzhen University,Griffith University,,,,,,,,,,,,5.0,0.0
729,Complexity Results and Exact Algorithms for Fair Division of Indivisible Items: A Survey,Phenikaa University,Heinrich Heine University Düsseldorf,,,,,,,,,,,,,,,,2.0,0.0
730,"A Survey on Dataset Distillation: Approaches, Applications and Future Directions",University of Stavanger,Fraunhofer Institute for Open Communication Systems,University of Amsterdam,Technical University of Munich,Fraunhofer Institute for Open Communication Systems,Technical University of Munich,University of Amsterdam,University of Stavanger,,,,,,,,,,8.0,0.0
731,Automated Content Moderation Using Transparent Solutions and Linguistic Expertise,Freie Universität Berlin,,,,,,,,,,,,,,,,,1.0,0.0
732,Optimized Crystallographic Graph Generation for Material Science,Centre de Recherche en Informatique,Artois University,Artois University,Artois University,Artois University,Centre de Recherche en Informatique,,,,,,,,,,,,6.0,0.0
733,Actor-Multi-Scale Context Bidirectional Higher Order Interactive Relation Network for Spatial-Temporal Action Localization,University of Science and Technology of China,University of Science and Technology of China," iFLYTEK Co., Ltd., Hefei, Chin"," iFLYTEK Co., Ltd., Hefei, Chin",University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China," iFLYTEK Co., Ltd., Hefei, Chin"," iFLYTEK Co., Ltd., Hefei, Chin",,,,,,,,6.0,0.0
734,Manifold-Aware Self-Training for Unsupervised Domain Adaptation on Regressing 6D Object Pose,South China University of Technology,South China University of Technology,Peng Cheng Laboratory,South China University of Technology,South China University of Technology,Peng Cheng Laboratory,South China University of Technology,Peng Cheng Laboratory,,,,,,,,,,8.0,0.0
735,Minimizing Reachability Times on Temporal Graphs via Shifting Labels,University of London,University of London,Hasso Plattner Institute,,,,,,,,,,,,,,,3.0,0.0
736,NerCo: A Contrastive Learning Based Two-Stage Chinese NER Method,Xi'an Jiaotong University,Xi'an Jiaotong University,Xi'an Jiaotong University,Xi'an Jiaotong University,Xi'an Jiaotong University,Xi'an Jiaotong University," Servyou Software Group Co., Lt",Lead City University,Xi'an Jiaotong University,Xi'an Jiaotong University,Xi'an Jiaotong University,Xi'an Jiaotong University,Xi'an Jiaotong University,Xi'an Jiaotong University,Xi'an Jiaotong University,,,14.0,0.0
737,SAD: Semi-Supervised Anomaly Detection on Dynamic Graphs,Sun Yat-sen University,Sun Yat-sen University,Sun Yat-sen University,Sun Yat-sen University,Sun Yat-sen University,Sun Yat-sen University,Sun Yat-sen University,Sun Yat-sen University,Sun Yat-sen University,Sun Yat-sen University,Sun Yat-sen University,,,,,,,11.0,0.0
738,Model Conversion via Differentially Private Data-Free Distillation,Institute of Information Engineering,University of Chinese Academy of Sciences,Institute of Information Engineering,University of Chinese Academy of Sciences,Institute of Information Engineering,University of Chinese Academy of Sciences,Shanghai University,Institute of Information Engineering,University of Chinese Academy of Sciences,,,,,,,,,9.0,0.0
739,TeSTNeRF: Text-Driven 3D Style Transfer via Cross-Modal Learning,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang Gongshang University,Zhejiang University,Zhejiang University,Zhejiang University,,,,,,,,,,8.0,0.0
740,Supporting Sustainable Agroecological Initiatives for Small Farmers through Constraint Programming,University of Montpellier,Mediterranean Agronomic Institute of Montpellier,University of Montpellier,University of Montpellier,"Montpellier Laboratory of Informatics, Robotics and Microelectronics",University of Montpellier,French National Centre for Scientific Research,University of Montpellier,Mediterranean Agronomic Institute of Montpellier,,,,,,,,,7.0,0.0
741,Approximate Inference in Logical Credal Networks,American Welding Society,American Welding Society,American Welding Society,American Welding Society,American Welding Society,American Welding Society,American Welding Society,American Welding Society,,,,,,,,,,8.0,0.0
742,A Fast Maximum k-Plex Algorithm Parameterized by the Degeneracy Gap,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,,,,,,,,,,,,,,4.0,0.0
743,Engineering an Efficient Approximate DNF-Counter *,National University of Singapore,Centre for Quantum Technologies,National University of Singapore,Indian Statistical Institute,National University of Singapore,Centre for Quantum Technologies,,,,,,,,,,,,6.0,0.0
744,IMPsys: An Intelligent Mold Processing System for Smart Factory,Hanyang University,Hanyang University,Hanyang University,Hanyang University,,,,,,,,,,,,,,4.0,0.0
745,SANCUS: Staleness-Aware Communication-Avoiding Full-Graph Decentralized Training in Large-Scale Graph Neural Networks (Extended Abstract) *,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Beijing University of Posts and Telecommunications,Shanghai Jiao Tong University,Hong Kong University of Science and Technology,Hong Kong Polytechnic University,,,,,,,,,,,,6.0,0.0
746,Harnessing Neighborhood Modeling and Asymmetry Preservation for Digraph Representation Learning *,"Rutgers, The State University of New Jersey","Rutgers, The State University of New Jersey","Rutgers, The State University of New Jersey","Rutgers, The State University of New Jersey",University of Potsdam,"Rutgers, The State University of New Jersey",,,,,,,,,,,,6.0,0.0
747,PasCore: A Chinese Overlapping Relation Extraction Model Based on Global Pointer Annotation Strategy,University of Southampton,University of Southampton,Nanjing University of Finance and Economics,University of Southampton,Beijing Institute of Technology,,,,,,,,,,,,,5.0,0.0
748,Towards Collaborative Plan Acquisition through Theory of Mind Modeling in Situated Dialogue,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor, Massachussets Institute of Technolog,University of Michigan–Ann Arbor,,,,,,,,,,,,,5.0,0.0
749,Truthful Auctions for Automated Bidding in Online Advertising,Shanghai Jiao Tong University,Alibaba Group (China),Shanghai Jiao Tong University,Alibaba Group (China),Alibaba Group (China),Shanghai Jiao Tong University,Shanghai Jiao Tong University,,,,,,,,,,,4.0,3.0
750,Video Object Segmentation in Panoptic Wild Scenes,Zhejiang University, Baidu Researc,Zhejiang University,Zhejiang University,,,,,,,,,,,,,,3.0,0.0
751,Fast and Differentially Private Fair Clustering,Seoul National University,Seoul National University,Seoul National University,,,,,,,,,,,,,,,3.0,0.0
752,Graph-based Polyphonic Multitrack Music Generation,University of Pisa,University of Pisa,University of Pisa,,,,,,,,,,,,,,,3.0,0.0
753,Do We Need an Encoder-Decoder to Model Dynamical Systems on Networks?,Jilin University,Academia Sinica,Deakin University,Deakin University,Jilin University,Academia Sinica,Jilin University,Academia Sinica,,,,,,,,,,8.0,0.0
