Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,num_academia,num_company
145,Learning Optimal Bayesian Networks Using A* Search,University of Massachusetts Amherst,University of Massachusetts Amherst,University of Massachusetts Amherst,,,,,,,,,,3.0,0.0
146,Modeling Attempt and Action Failure in Probabilistic stit Logic,Utrecht University,,,,,,,,,,,,1.0,0.0
147,"2,1 -Norm Regularized Discriminative Feature Selection for Unsupervised Learning",University of Queensland,University of Queensland,University of Trento,University of Queensland,University of Queensland,,,,,,,,5.0,0.0
148,Pattern Field Classification with Style Normalized Transformation,Chinese Academy of Sciences,Chinese Academy of Sciences,Chinese Academy of Sciences,,,,,,,,,,3.0,0.0
149,A Geometric View of Conjugate Priors,"University of Maryland, College Park","University of Maryland, College Park",,,,,,,,,,,2.0,0.0
150,Incentive Engineering for Boolean Games *,University of Amsterdam,Bar-Ilan University,Paris Dauphine University,University of Liverpool,,,,,,,,,4.0,0.0
151,Manipulation in Group Argument Evaluation,University of Luxembourg,Paris Dauphine University,University of Luxembourg,,,,,,,,,,3.0,0.0
152,Social Distance Games,University of Waterloo,University of Waterloo,,,,,,,,,,,2.0,0.0
153,Context Sensitive Topic Models for Author Influence in Document Networks,Pennsylvania State University,Pennsylvania State University,Pennsylvania State University,Pennsylvania State University,,,,,,,,,4.0,0.0
154,"Knowledge Representation, Reasoning, and Logic",,,,,,,,,,,,,0.0,0.0
155,On Progression and Query Evaluation in First-Order Knowledge Bases with Function Symbols,RWTH Aachen University,RWTH Aachen University,,,,,,,,,,,2.0,0.0
156,Transfer Learning to Predict Missing Ratings via Heterogeneous User Feedbacks,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,,,,,,,,,4.0,0.0
157,Predicting Epidemic Tendency through Search Behavior Analysis,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,6.0,0.0
158,The Combined Approach to Ontology-Based Data Access,National Association for Public Health Statistics and Information Systems," Fachbereich Mathematik und Informatik Birkbeck College London, U",University of Bremen, D.R. Cheriton School of C,University of Waterloo,University of Liverpool,National Association for Public Health Statistics and Information Systems,,,,,,4.0,0.0
159,Adaptive Data Compression for Robot Perception,University of Oxford,University of Oxford,University of Oxford,,,,,,,,,,3.0,0.0
160,Security Games with Multiple Attacker Resources,Duke University,Duke University,Duke University,,,,,,,,,,3.0,0.0
161,Action Selection via Learning Behavior Patterns in Multi-Robot Domains,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,2.0,0.0
162,Feature Learning for Activity Recognition in Ubiquitous Computing,Newcastle University,Newcastle University,Newcastle University,,,,,,,,,,3.0,0.0
163,Modeling Situation Awareness in Human-Like Agents sing Mental Models,Vrije Universiteit Amsterdam,Vrije Universiteit Amsterdam,Vrije Universiteit Amsterdam,,,,,,,,,,3.0,0.0
164,A Practical Automata-Based Technique for Reasoning in Expressive Description Logics *,Free University of Bozen-Bolzano,"Institute of Information Systems Vienna Univ. of Technology Favoritenstraße 9-11, Vienna, Austri","Institute of Information Systems Vienna Univ. of Technology Favoritenstraße 9-11, Vienna, Austri",,,,,,,,,,3.0,0.0
165,Reasoning About Typicality in Low Complexity DLs: The Logics EL ⊥ T min and DL-Lite c T min *,"Dip. di Informatica Univ. del Piemonte Orientale Alessandria, Ital",University of Turin,Aix-Marseille University,University of Turin,,,,,,,,,4.0,0.0
166,SMT Versus AI Redux: How Semantic Fames Evaluate MT More Accurately,HKUST Human Language Technology Center Department of Computer Science and Engineerin,Hong Kong University of Science and Technology,,,,,,,,,,,2.0,0.0
167,Mining Longitudinal Network for Predicting Company Value,The University of Tokyo,The University of Tokyo,The University of Tokyo,The University of Tokyo,The University of Tokyo,,,,,,,,5.0,0.0
168,A Computationally-Grounded Semantics for Artifact-Centric Systems and Abstraction Results,Imperial College London,Imperial College London,Imperial College London,,,,,,,,,,3.0,0.0
169,What Is an Ideal Logic for Reasoning with Inconsistency?,Academic College of Tel Aviv-Yafo,Tel Aviv University,Tel Aviv University,,,,,,,,,,3.0,0.0
170,On the Fixed-Parameter Tractability of Composition-Consistent Tournament Solutions *,Technical University of Munich,Technical University of Munich,Technical University of Munich,,,,,,,,,,3.0,0.0
171,Towards More Expressive Cake Cutting,University of Patras,University of Patras,University of Patras,,,,,,,,,,3.0,0.0
172,Translation-Based Constraint Answer Set Solving,Data61,Data61,,,,,,,,,,,2.0,0.0
173,Human-Guided Machine Learning for Fast and Accurate Network Alarm Triage,Microsoft (United States),University of Washington,Microsoft (United States),Microsoft (United States),Microsoft (United States),Microsoft (United States),,,,,,,1.0,5.0
