Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,num_academia,num_company
570,ESPACE: Accelerating Convolutional Neural Networks via Eliminating Spatial and Channel Redundancy,Xiamen University,Xiamen University," BestImage Lab, Tencent Technology (Shanghai) Co.,Ltd, Chin",Xiamen University,Xiamen University," BestImage Lab, Tencent Technology (Shanghai) Co.,Ltd, Chin",Xiamen University,Xiamen University," BestImage Lab, Tencent Technology (Shanghai) Co.,Ltd, Chin",,,,,,,,,,,,,6.0,0.0
571,Weakly-Supervised Deep Nonnegative Low-Rank Model for Social Image Tag Refinement and Assignment,Nanjing University of Science and Technology,Nanjing University of Science and Technology,,,,,,,,,,,,,,,,,,,,2.0,0.0
572,Integration of Planning with Recognition for Responsive Interaction Using Classical Planners,University of Massachusetts Amherst,University of Massachusetts Amherst,,,,,,,,,,,,,,,,,,,,2.0,0.0
573,Latent Dependency Forest Models,ShanghaiTech University,ShanghaiTech University,ShanghaiTech University,,,,,,,,,,,,,,,,,,,3.0,0.0
574,Deterministic versus Probabilistic Methods for Searching for an Evasive Target,University of London,King's College London,King's College London,University of Toronto,,,,,,,,,,,,,,,,,,4.0,0.0
575,An Integrated Model for Effective Saliency Prediction,University of Queensland,Harbin Institute of Technology,University of Queensland,University of Queensland,University of Queensland,University of Electronic Science and Technology of China,,,,,,,,,,,,,,,,6.0,0.0
576,Partitioned Sampling of Public Opinions Based on Their Social Dynamics *,Tsinghua University,Zhejiang Chinese Medical University,Microsoft Research Asia (China),,,,,,,,,,,,,,,,,,,1.0,1.0
577,Addressing Imbalance in Multi-Label Classification Using Structured Hellinger Forests,"Rutgers, The State University of New Jersey","Rutgers, The State University of New Jersey",,,,,,,,,,,,,,,,,,,,2.0,0.0
578,When and Why Are Deep Networks Better than Shallow Ones?,California Institute of Technology,Claremont Graduate University,McGovern Institute for Brain Research,McGovern Institute for Brain Research,,,,,,,,,,,,,,,,,,4.0,0.0
579,Incorporating Knowledge Graph Embeddings into Topic Modeling,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,,,,,,,,,,,,,,,7.0,0.0
580,Semi-Supervised Classifications via Elastic and Robust Embedding,The University of Texas at Arlington,Illinois Institute of Technology,Colorado School of Mines,The University of Texas at Arlington,Northwestern Polytechnical University,The University of Texas at Arlington,,,,,,,,,,,,,,,,6.0,0.0
581,Algorithms for Deciding Counting Quantifiers over Unary Predicates,Universidade de São Paulo,University College London,,,,,,,,,,,,,,,,,,,,2.0,0.0
582,Inductive Pairwise Ranking: Going Beyond the n log(n) Barrier,"University of California, Irvine",Data Analytics Lab Xerox Research Centre Indi,National Research Centre,,,,,,,,,,,,,,,,,,,2.0,0.0
583,Relational Deep Learning: A Deep Latent Variable Model for Link Prediction,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,,,,,,,,,,,,,,,,,,,3.0,0.0
584,Axiomatic Characterization of Game-Theoretic Network Centralities,University of Warsaw,University of Warsaw,University of Oxford,National Institute of Science and Technology,,,,,,,,,,,,,,,,,,4.0,0.0
585,Learning Sparse Task Relations in Multi-Task Learning,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,,,,,,,,,,,,,,,,,,,,2.0,0.0
586,Optimal Personalized Defense Strategy Against Man-In-The-Middle Attack,Tianjin University,Tianjin University,Nanyang Technological University,,,,,,,,,,,,,,,,,,,3.0,0.0
587,On Covering Codes and Upper Bounds for the Dimension of Simple Games,Aarhus University,,,,,,,,,,,,,,,,,,,,,1.0,0.0
588,General Bounds on Satisfiability Thresholds for Random CSPs via Fourier Analysis,Stanford University,Stanford University,,,,,,,,,,,,,,,,,,,,2.0,0.0
589,PAG2ADMG: A Novel Methodology to Enumerate Causal Graph Structures,Northwestern University,Northwestern University,,,,,,,,,,,,,,,,,,,,2.0,0.0
590,SummaRuNNer: A Recurrent Neural Network Based Sequence Model for Extractive Summarization of Documents,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,,,,,,,,,,,,,,,,,,,3.0,0.0
591,Strategic Sequences of Arguments for Persuasion Using Decision Trees,University College London,University College London,,,,,,,,,,,,,,,,,,,,2.0,0.0
592,Automated Data Extraction Using Predictive Program Synthesis,Microsoft (United States),Microsoft (United States),,,,,,,,,,,,,,,,,,,,0.0,2.0
593,An Efficient Approach to Model-Based Hierarchical Reinforcement Learning,Singapore Management University,Singapore Management University,Singapore Management University,National University of Singapore,,,,,,,,,,,,,,,,,,4.0,0.0
594,Bounding the Probability of Resource Constraint Violations in Multi-Agent MDPs,Delft University of Technology,Delft University of Technology,Delft University of Technology,Delft University of Technology,,,,,,,,,,,,,,,,,,4.0,0.0
595,Exclusion Method for Finding Nash Equilibrium in Multiplayer Games,Aalto University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,2.0,0.0
596,Randomized Mechanisms for Selling Reserved Instances in Cloud, CAS Key Lab of Network Data Science and Technology,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Microsoft Research Asia (China),Microsoft Research Asia (China), CAS Key Lab of Network Data Science and Technology,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Microsoft Research Asia (China),,,,,,,,,,,,,4.0,3.0
597,Beyond Monte Carlo Tree Search: Playing Go with Deep Alternative Neural Network and Long-Term Evaluation,Peking University,Peking University,,,,,,,,,,,,,,,,,,,,2.0,0.0
598,Distributed Negative Sampling for Word Embeddings,Yahoo Researc,University of Waterloo,Yahoo Researc,,,,,,,,,,,,,,,,,,,1.0,0.0
599,Scalable Feature Selection via Distributed Diversity Maximization,Sharif University of Technology,Sharif University of Technology,Sharif University of Technology,Sharif University of Technology,,,,,,,,,,,,,,,,,,4.0,0.0
600,Structured Prediction in Time Series Data,University of Illinois at Chicago,,,,,,,,,,,,,,,,,,,,,1.0,0.0
601,Sarcasm Suite: A Browser-Based Engine for Sarcasm Detection and Generation,Indian Institute of Technology Bombay,Monash University,IITB-Monash Research Academy,Indian Institute of Technology Bombay,Monash University,IITB-Monash Research Academy,Indian Institute of Technology Bombay,Monash University,,,,,,,,,,,,,,8.0,0.0
602,Automatic Emphatic Information Extraction from Aligned Acoustic Data and Its Application on Sentence Compression,Sun Yat-sen University,Sun Yat-sen University,,,,,,,,,,,,,,,,,,,,2.0,0.0
603,Compiling Graph Substructures into Sentential Decision Diagrams,Neelan Tiruchelvam Trust,Neelan Tiruchelvam Trust,Hokkaido University,Neelan Tiruchelvam Trust,,,,,,,,,,,,,,,,,,4.0,0.0
604,Small Is Beautiful: Computing Minimal Equivalent EL Concepts,University of Oxford,University of Dresde,,,,,,,,,,,,,,,,,,,,2.0,0.0
605,Playing FPS Games with Deep Reinforcement Learning,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,2.0,0.0
606,Generalized Ambiguity Decompositions for Classification with Applications in Active Learning and Unsupervised Ensemble Pruning,Peking University,Peking University,,,,,,,,,,,,,,,,,,,,2.0,0.0
607,Beyond IID: Learning to Combine Non-IID Metrics for Vision Tasks,Nanjing University,Nanjing University,Nanjing University,University of Technology Sydney,University of North Carolina at Chapel Hill,,,,,,,,,,,,,,,,,5.0,0.0
608,Bridging Video Content and Comments: Synchronized Video Description with Temporal Summarization of Crowdsourced Time-Sync Comments,University of Science and Technology of China,University of Science and Technology of China,,,,,,,,,,,,,,,,,,,,2.0,0.0
609,Salience Estimation via Variational Auto-Encoders for Multi-Document Summarization *,Chinese University of Hong Kong,Chinese University of Hong Kong,Chinese University of Hong Kong,University College London," AI Platform Department, Tencent Inc., Shenzhen, Chin",,,,,,,,,,,,,,,,,4.0,0.0
610,Recurrent Neural Networks with Auxiliary Labels for Cross-Domain Opinion Target Extraction,Singapore Management University,Singapore Management University,Singapore Management University,,,,,,,,,,,,,,,,,,,3.0,0.0
611,Compressed K-Means for Large-Scale Clustering,Nanjing University of Science and Technology,Nanjing University of Science and Technology,Nanjing University of Science and Technology,Nanjing University of Science and Technology,Nanjing University of Science and Technology,,,,,,,,,,,,,,,,,5.0,0.0
612,Efficient Non-Oblivious Randomized Reduction for Risk Minimization with Improved Excess Risk Guarantee,University of Iowa,The Hang Seng University of Hong Kong,Nanjing University,University of Iowa,,,,,,,,,,,,,,,,,,4.0,0.0
613,An Improved Algorithm for Learning to Perform Exception-Tolerant Abduction,Washington University in St. Louis,Washington University in St. Louis,Washington University in St. Louis,,,,,,,,,,,,,,,,,,,3.0,0.0
614,Learning Non-Linear Dynamics of Decision Boundaries for Maintaining Classification Performance,NTT Secure Platform Laboratories,"NTT Corporation 3-9-11, Midori-cho, Musashino-shi, Tokyo, Japa",NTT Communication Science Laboratories,"NTT Corporation 2-4, Hikaridai, Seika-cho, Soraku-gun, Kyoto, Japa",,,,,,,,,,,,,,,,,,0.0,2.0
615,Semantic Proto-Role Labeling,Johns Hopkins University,Johns Hopkins University,Johns Hopkins University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,4.0,0.0
616,Deep Gaussian Process for Crop Yield Prediction Based on Remote Sensing Data,Stanford University,Stanford University,Stanford University,,,,,,,,,,,,,,,,,,,3.0,0.0
617,Discovering Conversational Dependencies between Messages in Dialogs,David R. Cheriton School of Computer Science University of Waterlo,David R. Cheriton School of Computer Science University of Waterlo,The Ohio State University,,,,,,,,,,,,,,,,,,,2.0,0.0
618,Android Malware Detection with Weak Ground Truth Data,Kansas State University,Kansas State University,Department of Computer Science and Engineering University of South Florid,,,,,,,,,,,,,,,,,,,2.0,0.0
619,SeqGAN: Sequence Generative Adversarial Nets with Policy Gradient,Shanghai Jiao Tong University,Shanghai Jiao Tong University,University College London,Shanghai Jiao Tong University,,,,,,,,,,,,,,,,,,4.0,0.0
620,Bilinear Probabilistic Canonical Correlation Analysis via Hybrid Concatenations,University of Sheffield,University of Sheffield,Hong Kong Baptist University,,,,,,,,,,,,,,,,,,,3.0,0.0
621,The Multivariate Generalised von Mises Distribution: Inference and Applications,University of Cambridge,University of Cambridge,University of Cambridge,,,,,,,,,,,,,,,,,,,3.0,0.0
622,SummaRuNNer: A Recurrent Neural Network Based Sequence Model for Extractive Summarization of Documents,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,,,,,,,,,,,,,,,,,,,3.0,0.0
623,Polynomially Bounded Logic Programs with Function Symbols: A New Decidable Class,University of Sydney,University of Sydney,Huazhong University of Science and Technology,,,,,,,,,,,,,,,,,,,3.0,0.0
624,The Option-Critic Architecture,"Reasoning and Learning Lab, School of Computer Science McGill Universit","Reasoning and Learning Lab, School of Computer Science McGill Universit","Reasoning and Learning Lab, School of Computer Science McGill Universit",,,,,,,,,,,,,,,,,,,3.0,0.0
625,Cross-Domain Kernel Induction for Transfer Learning,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,4.0,0.0
626,Associate Latent Encodings in Learning from Demonstrations,Instituto de Engenharia de Sistemas e Computadores Investigação e Desenvolvimento,École Polytechnique Fédérale de Lausanne,Instituto de Engenharia de Sistemas e Computadores Investigação e Desenvolvimento,École Polytechnique Fédérale de Lausanne,Instituto de Engenharia de Sistemas e Computadores Investigação e Desenvolvimento,,,,,,,,,,,,,,,,,5.0,0.0
627,Expectile Matrix Factorization for Skewed Data Analysis,University of Alberta,University of Alberta,University of Alberta,University of Calgary,,,,,,,,,,,,,,,,,,4.0,0.0
628,Associative Memory Using Dictionary Learning and Expander Decoding,University of Massachusetts Amherst,Research Laboratory of Electronics Massachusetts Institute of Technolog,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,2.0,0.0
629,Anytime Best+Depth-First Search for Bounding Marginal MAP,IBM Research - Ireland,"University of California, Irvine","University of California, Irvine","University of California, Irvine",,,,,,,,,,,,,,,,,,4.0,0.0
630,Dynamically Constructed (PO)MDPs for Adaptive Robot Planning,Cleveland State University,The University of Texas at Austin,The University of Texas at Austin,The University of Texas at Austin,,,,,,,,,,,,,,,,,,4.0,0.0
631,Healthy Cognitive Aging: A Hybrid Random Vector Functional-Link Model for the Analysis of Alzheimers Disease,Western University," Robarts Research, London, ON, Canad"," Pulse Infoframe Inc., London, ON, Canad",Western University," Pulse Infoframe Inc., London, ON, Canad",Western University,Western University," Pulse Infoframe Inc., London, ON, Canad",,,,,,,,,,,,,,4.0,1.0
632,TextBoxes: A Fast Text Detector with a Single Deep Neural Network,Huazhong University of Science and Technology,Huazhong University of Science and Technology,Huazhong University of Science and Technology,Huazhong University of Science and Technology,Huazhong University of Science and Technology,,,,,,,,,,,,,,,,,5.0,0.0
633,Reasoning about Cognitive Trust in Stochastic Multiagent Systems *,Computer Science Department,Computer Science Department,,,,,,,,,,,,,,,,,,,,2.0,0.0
634,Detection and Recognition of Text Embedded in Online Images via Neural Context Models,Seoul National University,Seoul National University,Seoul National University,,,,,,,,,,,,,,,,,,,3.0,0.0
635,Accelerated Vector Pruning for Optimal POMDP Solvers,Delft University of Technology,Delft University of Technology,,,,,,,,,,,,,,,,,,,,2.0,0.0
636,Plan Reordering and Parallel Execution -A Parameterized Complexity View,Linköping University,Linköping University,,,,,,,,,,,,,,,,,,,,2.0,0.0
637,Volumetric ConvNets with Mixed Residual Connections for Automated Prostate Segmentation from 3D MR Images,Hong Kong Polytechnic University,Chinese Academy of Sciences,Hong Kong Polytechnic University,Chinese Academy of Sciences,Hong Kong Polytechnic University,Chinese Academy of Sciences,Hong Kong Polytechnic University,Chinese Academy of Sciences,,,,,,,,,,,,,,8.0,0.0
638,New Lower Bound for the Minimum Sum Coloring Problem,University of Picardie Jules Verne,University of Picardie Jules Verne,University of Picardie Jules Verne,,,,,,,,,,,,,,,,,,,3.0,0.0
639,Graph-Based Wrong IsA Relation Detection in a Large-Scale Lexical Taxonomy,Shanghai Key Laboratory of Trustworthy Computing,Fudan University,Shanghai Key Laboratory of Trustworthy Computing,Fudan University,Fudan University,Yonsei University,Meta (United States),,,,,,,,,,,,,,,6.0,1.0
640,Multi-View Clustering and Semi-Supervised Classification with Adaptive Neighbours,Northwestern Polytechnical University,Northwestern Polytechnical University,Xi'an Jiaotong University,,,,,,,,,,,,,,,,,,,3.0,0.0
641,A SAT-Based Approach for Solving the Modal Logic S5-Satisfiability Problem,"CRIL, Univ. Artois and CNRS, F62300 Lens, Franc","CRIL, Univ. Artois and CNRS, F62300 Lens, Franc","CRIL, Univ. Artois and CNRS, F62300 Lens, Franc","CRIL, Univ. Artois and CNRS, F62300 Lens, Franc","CRIL, Univ. Artois and CNRS, F62300 Lens, Franc",,,,,,,,,,,,,,,,,5.0,0.0
642,Phase Transitions for Scale-Free SAT Formulas,Hasso Plattner Institute,Hasso Plattner Institute,Hasso Plattner Institute,Hasso Plattner Institute,,,,,,,,,,,,,,,,,,4.0,0.0
643,Achieving Sustainable Cooperation in Generalized Prisoner's Dilemma with Observation Errors *,Kyushu University,Kyushu University,Kyoto University,University of Electro-Communications,,,,,,,,,,,,,,,,,,4.0,0.0
644,Bounded Rationality of Restricted Turing Machines *,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,,,,,,,,,3.0,0.0
645,Spatial Projection of Multiple Climate Variables Using Hierarchical Multitask Learning,Centre for Research and Development in Telecommunications (Brazil),University of Minnesota,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,2.0,1.0
646,Wikitop: Using Wikipedia Category Network to Generate Topic Trees,Sathyabama Institute of Science and Technology,Sathyabama Institute of Science and Technology,Sathyabama Institute of Science and Technology,,,,,,,,,,,,,,,,,,,3.0,0.0
647,On Learning High Dimensional Structured Single Index Models," Walmart Labs, San Bruno, C"," Technicolor Research and Innovation, Los Altos, C",University of Michigan–Ann Arbor,University of Wisconsin–Madison,University of Wisconsin–Madison,,,,,,,,,,,,,,,,,3.0,2.0
648,Semi-Supervised Adaptive Label Distribution Learning for Facial Age Estimation,Southeast University,Southeast University,Southeast University,Southeast University,,,,,,,,,,,,,,,,,,4.0,0.0
649,Bilateral k-Means Algorithm for Fast Co-Clustering,Northwestern Polytechnical University,Northwestern Polytechnical University,Northwestern Polytechnical University,Chinese Academy of Sciences,,,,,,,,,,,,,,,,,,4.0,0.0
650,Non-Parametric Estimation of Multiple Embeddings for Link Prediction on Dynamic Knowledge Graphs,Institute for Infocomm Research,Nanyang Technological University,,,,,,,,,,,,,,,,,,,,2.0,0.0
651,Checking the Consistency of Combined Qualitative Constraint Networks,"Groupe de Recherche en Informatique, Image, Automatique et Instrumentation de Caen","Groupe de Recherche en Informatique, Image, Automatique et Instrumentation de Caen","Groupe de Recherche en Informatique, Image, Automatique et Instrumentation de Caen",,,,,,,,,,,,,,,,,,,3.0,0.0
652,Visual Memory QA: Your Personal Photo and Video Search Agent,Carnegie Mellon University,IJ Research (United States),IJ Research (United States),IJ Research (United States),Carnegie Mellon University,,,,,,,,,,,,,,,,,2.0,0.0
653,Joint Learning of Structural and Textual Features for Web Scale Event Extraction,University of Oxford,,,,,,,,,,,,,,,,,,,,,1.0,0.0
654,Selecting Sequences of Items via Submodular Maximization,ETH Zurich,ETH Zurich,,,,,,,,,,,,,,,,,,,,2.0,0.0
655,Robust Partially-Compressed Least-Squares,University of Colorado Boulder,University of New Hampshire,,,,,,,,,,,,,,,,,,,,2.0,0.0
656,Small Representations of Big Kidney Exchange Graphs,"University of Maryland, College Park",Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,2.0,0.0
657,Obvious Strategyproofness Needs Monitoring for Good Approximations,University of Salerno,University of Essex,,,,,,,,,,,,,,,,,,,,2.0,0.0
658,Preference Elicitation for Participatory Budgeting,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Harvard University,,,,,,,,,,,,,,,,,,4.0,0.0
659,Fans Economy and All-Pay Auctions with Proportional Allocations *,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,,,,,,,,,3.0,0.0
660,The Opacity of Backbones,University of Rochester,Rochester Institute of Technology,,,,,,,,,,,,,,,,,,,,2.0,0.0
661,Extending Compact-Table to Negative and Short Tables,Université Catholique de Louvain,Artois University,Université Catholique de Louvain,,,,,,,,,,,,,,,,,,,3.0,0.0
662,On the Transitivity of Hypernym-Hyponym Relations in Data-Driven Lexical Taxonomies,Fudan University,Fudan University,"Xiaoi Research, Shanghai Xiaoi Robot Technology Co. LTD., China",,,,,,,,,,,,,,,,,,,2.0,0.0
663,Dancing with Decision Diagrams: A Combined Approach to Exact Cover,Neelan Tiruchelvam Trust,Neelan Tiruchelvam Trust,Hokkaido University,Neelan Tiruchelvam Trust,,,,,,,,,,,,,,,,,,4.0,0.0
664,Asynchronous Stochastic Proximal Optimization Algorithms with Variance Reduction,Peking University,Microsoft Research (India),Carnegie Mellon University,Microsoft Research (India),Chinese Academy of Sciences,Microsoft Research (India),,,,,,,,,,,,,,,,3.0,3.0
665,Towards Better Understanding the Clothing Fashion Styles: A Multimodal Deep Learning Approach,Tsinghua University," Key Laboratory of Pervasive Computing, Ministry of Education Tsinghua National Laboratory for Information Science and Technology (TNList",Tsinghua University," Key Laboratory of Pervasive Computing, Ministry of Education Tsinghua National Laboratory for Information Science and Technology (TNList",Beijing University of Posts and Telecommunications," Sogou Corporation, Beijing, Chin",Tsinghua University,,,,,,,,,,,,,,,5.0,1.0
666,Optimizing Quantiles in Preference-Based Markov Decision Processes,Sorbonne University,French National Centre for Scientific Research,"SYSU-CMU Joint Institute of Engineering, Guangzhou, Chin",SYSU-CMU International Joint Research Institute,,,,,,,,,,,,,,,,,,3.0,0.0
667,Logical Filtering and Smoothing: State Estimation in Partially Observable Domains,University of Toronto,University of Toronto,University of Toronto,,,,,,,,,,,,,,,,,,,3.0,0.0
668,I See What You See: Inferring Sensor and Policy Models of Human Real-World Motor Behavior,Robert Bosch Hospital,Robert Bosch Hospital,Robert Bosch Hospital,Technical University of Darmstadt,,,,,,,,,,,,,,,,,,4.0,0.0
669,Cross-View People Tracking by Scene-Centered Spatio-Temporal Parsing *,"University of California, Los Angeles",San Diego State University,"University of California, Los Angeles",Academia Sinica,"University of California, Los Angeles",,,,,,,,,,,,,,,,,5.0,0.0
670,Vote Until Two of You Agree: Mechanisms with Small Distortion and Sample Complexity,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,,,,,,,,,,,,,,,,,,,3.0,0.0
671,Crowdsourced Outcome Determination in Prediction Markets,Duke University,Microsoft Research (United Kingdom),Microsoft Research (United Kingdom),,,,,,,,,,,,,,,,,,,1.0,2.0
672,Recovering True Classifier Performance in Positive-Unlabeled Learning,Indiana University Bloomington,Indiana University Bloomington,Indiana University Bloomington,,,,,,,,,,,,,,,,,,,3.0,0.0
673,Growing Interpretable Part Graphs on ConvNets via Multi-Shot Learning,"University of California, Los Angeles","University of California, Los Angeles","University of California, Los Angeles","University of California, Los Angeles",,,,,,,,,,,,,,,,,,4.0,0.0
674,Representations for Continuous Learning,University of Pennsylvania,,,,,,,,,,,,,,,,,,,,,1.0,0.0
675,Integrating Verbal and Nonverbal Input into a Dynamic Response Spoken Dialogue System,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,9.0,0.0
676,Online Active Linear Regression via Thresholding,Stanford University,Stanford University,George Washington University,,,,,,,,,,,,,,,,,,,3.0,0.0
677,Ontology Materialization by Abstraction Refinement in Horn SHOIF,University of Ulm,University of Ulm,University of Ulm,,,,,,,,,,,,,,,,,,,3.0,0.0
678,"LP MLN Weak Constraints, and P-log",Arizona State University,Arizona State University,,,,,,,,,,,,,,,,,,,,2.0,0.0
679,Identifying Unknown Unknowns in the Open World: Representations and Policies for Guided Exploration,Stanford University,Microsoft Research (United Kingdom),,,,,,,,,,,,,,,,,,,,1.0,1.0
680,A Nearly-Black-Box Online Algorithm for Joint Parameter and State Estimation in Temporal Models,"University of California, Berkeley","University of California, Berkeley","University of California, Berkeley",,,,,,,,,,,,,,,,,,,3.0,0.0
681,Matrix Factorisation for Scalable Energy Breakdown,University of Virginia,University of Virginia,University of Virginia,University of Virginia,,,,,,,,,,,,,,,,,,4.0,0.0
682,Extreme Gradient Boosting and Behavioral Biometrics,University of Georgia,,,,,,,,,,,,,,,,,,,,,1.0,0.0
683,Extracting Urban Microclimates from Electricity Bills *,"UCLA Computer Science Department Los Angeles, CA 90095-159","UCLA Computer Science Department Los Angeles, CA 90095-159",,,,,,,,,,,,,,,,,,,,2.0,0.0
684,Flexible Model Induction through Heuristic Process Discovery,Institute for the Study of Learning and Expertise,University of Auckland,,,,,,,,,,,,,,,,,,,,2.0,0.0
685,Towards User Personality Profiling from Multiple Social Networks,ITMO University,National University of Singapore,University of Cambridge,,,,,,,,,,,,,,,,,,,3.0,0.0
686,Multimodal Fusion of EEG and Musical Features in Music-Emotion Recognition,Osaka University,Osaka University,Osaka University,,,,,,,,,,,,,,,,,,,3.0,0.0
687,Accelerated Gradient Temporal Difference Learning,Indiana University,Indiana University,Indiana University,,,,,,,,,,,,,,,,,,,3.0,0.0
688,Multivariate Hawkes Processes for Large-Scale Inference,University of Paris-Saclay," Numberly, 1000Mercis group, Paris, Franc",University of Paris-Saclay," Microsoft Research -Inria Joint Center, Palaiseau, Franc",University of Paris-Saclay,,,,,,,,,,,,,,,,,3.0,0.0
689,Column Networks for Collective Classification,Deakin University,Deakin University,Deakin University,Deakin University,,,,,,,,,,,,,,,,,,4.0,0.0
690,The Symbolic Interior Point Method,TU Dortmund University,University of Edinburgh,TU Dortmund University,,,,,,,,,,,,,,,,,,,3.0,0.0
691,Greedy Flipping for Constrained Word Deletion,Peking University,Peking University,,,,,,,,,,,,,,,,,,,,2.0,0.0
692,Unsupervised Sentiment Analysis with Signed Social Networks,Arizona State University,Arizona State University,Michigan State University,Arizona State University,,,,,,,,,,,,,,,,,,4.0,0.0
693,Predicting Soccer Highlights from Spatio-Temporal Match Event Streams,KU Leuven,KU Leuven,KU Leuven,KU Leuven,,,,,,,,,,,,,,,,,,4.0,0.0
694,A Hybrid Collaborative Filtering Model with Deep Structure for Recommender Systems,Ctrip,Ctrip,Ctrip,Ctrip,Ctrip,Ctrip,,,,,,,,,,,,,,,,6.0,0.0
695,Deep Learning Quadcopter Control via Risk-Aware Active Learning,Linköping University,Linköping University,Linköping University,,,,,,,,,,,,,,,,,,,3.0,0.0
696,Hindsight Optimization for Hybrid State and Action MDPs,Oregon State University,University of Toronto,Tufts University,Oregon State University,Oregon State University,,,,,,,,,,,,,,,,,5.0,0.0
697,Non-Rigid Point Set Registration with Robust Transformation Estimation under Manifold Regularization,Wuhan University,Wuhan University,China University of Geosciences,Wuhan Institute of Technology,,,,,,,,,,,,,,,,,,4.0,0.0
698,Building Task-Oriented Dialogue Systems for Online Shopping,Beihang University,Microsoft Research Asia (China),Sinopec (China),Microsoft Research Asia (China),Sinopec (China),Capital Normal University,Beihang University,Microsoft Research Asia (China),,,,,,,,,,,,,,3.0,3.0
699,Problems in Large-Scale Image Classification,Tsinghua University,,,,,,,,,,,,,,,,,,,,,1.0,0.0
700,Visual Sentiment Analysis by Attending on Local Image Regions,University of Rochester,"Adobe Research 345 Park Avenue San Jose, CA 9511",University of Rochester,,,,,,,,,,,,,,,,,,,2.0,1.0
701,Unsupervised Feature Learning for 3D Scene Reconstruction with Occupancy Maps,University of Sydney,University of Sydney,,,,,,,,,,,,,,,,,,,,2.0,0.0
702,Don't Forget the Quantifiable Relationship between Words: Using Recurrent Neural Network for Short Text Topic Discovery,Nanjing University of Science and Technology,Nanjing University,,,,,,,,,,,,,,,,,,,,2.0,0.0
703,Alternating Back-Propagation for Generator Network,"University of California, Los Angeles","University of California, Los Angeles","University of California, Los Angeles","University of California, Los Angeles",,,,,,,,,,,,,,,,,,4.0,0.0
704,Approximate Conditional Gradient Descent on Multi-Class Classification,University of Technology Sydney,University of Technology Sydney,,,,,,,,,,,,,,,,,,,,2.0,0.0
705,Prerequisite Skills for Reading Comprehension: Multi-Perspective Analysis of MCTest Datasets and Systems,The University of Tokyo,Hawassa University,National Institute of Informatics,,,,,,,,,,,,,,,,,,,2.0,0.0
706,Local Centroids Structured Non-Negative Matrix Factorization,The University of Texas at Arlington,The University of Texas at Arlington,Northwestern Polytechnical University,The University of Texas at Arlington,,,,,,,,,,,,,,,,,,4.0,0.0
707,Fredholm Multiple Kernel Learning for Semi-Supervised Domain Adaptation, . Science and Technology on Integrated Information System Laborator, . Science and Technology on Integrated Information System Laborator,Chinese Academy of Sciences, . Science and Technology on Integrated Information System Laborator, . Science and Technology on Integrated Information System Laborator,,,,,,,,,,,,,,,,,4.0,0.0
708,Efficient Online Model Adaptation by Incremental Simplex Tableau," Department of Computer Sciences, Harward University, USA",Renmin University of China,Renmin University of China,Renmin University of China,City University of New York,,,,,,,,,,,,,,,,,4.0,0.0
709,A Diversified Generative Latent Variable Model for WiFi-SLAM,University of Technology Sydney,University of Technology Sydney,,,,,,,,,,,,,,,,,,,,2.0,0.0
710,Higher-Dimensional Potential Heuristics for Optimal Classical Planning,University of Basel,University of Basel,Simón Bolívar University,,,,,,,,,,,,,,,,,,,3.0,0.0
711,Anytime Anyspace AND/OR Search for Bounding the Partition Function,"University of California, Irvine","University of California, Irvine","University of California, Irvine",,,,,,,,,,,,,,,,,,,3.0,0.0
712,Entropic Causal Inference,The University of Texas at Austin,The University of Texas at Austin,The University of Texas at Austin,California Institute of Technology,,,,,,,,,,,,,,,,,,4.0,0.0
