Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,num_academia,num_company
77,Coupling Implicit and Explicit Knowledge for Customer Volume Prediction,Beihang University,Beihang University,Beihang University,Beihang University,Beihang University,Beihang University,,,,,,,,,,,,,,,,6.0,0.0
78,Distinguish Polarity in Bag-of-Words Visualization," Baidu Research, Sunnyvale, CA US",Northwestern University,Northwestern University,Northwestern University,Northwestern University,,,,,,,,,,,,,,,,,4.0,0.0
79,Translation Prediction with Source Dependency-Based Context Representation,Harbin Institute of Technology,Harbin Institute of Technology,Harbin Institute of Technology,National Institute of Information and Communications Technology,,,,,,,,,,,,,,,,,,4.0,0.0
80,Generalization Analysis for Ranking Using Integral Operator,Institute of Information Engineering,Tianjin University of Science and Technology,Institute of Information Engineering,Institute of Information Engineering,Institute of Information Engineering,,,,,,,,,,,,,,,,,5.0,0.0
81,Unimodal Thompson Sampling for Graph-Structured Arms,Politecnico di Milano,Politecnico di Milano,Politecnico di Milano,Politecnico di Milano,,,,,,,,,,,,,,,,,,4.0,0.0
82,Examples-Rules Guided Deep Neural Network for Makeup Recommendation,Electrical and Computer Engineering Department Heads Association,Electrical and Computer Engineering Department Heads Association,Electrical and Computer Engineering Department Heads Association,Electrical and Computer Engineering Department Heads Association,Northeastern University,,,,,,,,,,,,,,,,,5.0,0.0
83,JAG: A Crowdsourcing Framework for Joint Assessment and Peer Grading,Carnegie Mellon University,Cornell University,,,,,,,,,,,,,,,,,,,,2.0,0.0
84,Keyphrase Extraction with Sequential Pattern Mining,Hefei University of Technology,University of Central Arkansas,Hefei University of Technology,University of Louisiana at Lafayette,,,,,,,,,,,,,,,,,,4.0,0.0
85,Authorship Attribution with Topic Drift Model,South China Normal University,University of Hong Kong,South China Normal University,South China Normal University,University of Hong Kong,,,,,,,,,,,,,,,,,5.0,0.0
86,A Multi-Task Deep Network for Person Re-Identification,University of Dundee,University of Chinese Academy of Sciences,Center for Excellence in Brain Science and Intelligence Technology,,,,,,,,,,,,,,,,,,,3.0,0.0
87,Regularized Diffusion Process for Visual Retrieval,Huazhong University of Science and Technology,Huazhong University of Science and Technology,The University of Texas at San Antonio,Temple University,,,,,,,,,,,,,,,,,,4.0,0.0
88,Efficient Stochastic Optimization for Low-Rank Distance Metric Learning,Nanjing University,Nanjing University,,,,,,,,,,,,,,,,,,,,2.0,0.0
