Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,num_academia,num_company
1020,Interpreting Deep Neural Networks with Relative Sectional Propagation by Analyzing Comparative Gradients and Hostile Activations,Korea University,Korea Advanced Institute of Science and Technology,Korea University,Korea University,,,,,,,,,,,,,,,,,,,4.0,0.0
1021,Fast PCA in 1-D Wasserstein Spaces via B-splines Representation and Metric Projection,Politecnico di Milano,Politecnico di Milano,University of Bologna,,,,,,,,,,,,,,,,,,,,3.0,0.0
1022,Relational Classification of Biological Cells in Microscopy Images,Illinois Institute of Technology,Illinois Institute of Technology,,,,,,,,,,,,,,,,,,,,,2.0,0.0
1023,DocParser: Hierarchical Document Structure Parsing from Renderings,ETH Zurich,ETH Zurich,ETH Zurich,ETH Zurich,ETH Zurich,,,,,,,,,,,,,,,,,,5.0,0.0
1024,A Global Occlusion-Aware Approach to Self-Supervised Monocular Visual Odometry,Renmin University of China,University of Science and Technology Beijing,Renmin University of China,University of Science and Technology Beijing,University of Hong Kong,Renmin University of China,University of Science and Technology Beijing,University of Surrey,,,,,,,,,,,,,,,8.0,0.0
1025,Provable Benefits of Overparameterization in Model Compression: From Double Descent to Pruning Neural Networks,"University of California, Riverside","University of California, Riverside","University of California, Riverside",University of British Columbia,,,,,,,,,,,,,,,,,,,4.0,0.0
1026,Lifelong Multi-Agent Path Finding in Large-Scale Warehouses *,University of Southern California, Amazon Robotic, Amazon Robotic, Amazon Robotic,University of Southern California,University of Southern California,,,,,,,,,,,,,,,,,3.0,0.0
1027,Distribution Adaptive INT8 Quantization for Training CNNs,Alibaba Group (United States),Alibaba Group (United States),Alibaba Group (United States),Alibaba Group (United States),Alibaba Group (United States),Alibaba Group (United States),,,,,,,,,,,,,,,,,0.0,6.0
1028,CARE: Commonsense-Aware Emotional Response Generation with Latent Concepts,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,Alibaba Group (China),Alibaba Group (China),Nanyang Technological University,Nanyang Technological University,,,,,,,,,,,,,,,6.0,2.0
1029,Exploiting Sample Uncertainty for Domain Adaptive Person Re-Identification,University of Science and Technology of China,Microsoft Research Asia (China),Microsoft Research Asia (China),University of Science and Technology of China,University of Science and Technology of China,,,,,,,,,,,,,,,,,,3.0,2.0
1030,Catch Me if I Can: Detecting Strategic Behaviour in Peer Assessment,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,3.0,0.0
1031,DART: Adaptive Accept Reject Algorithm for Non-Linear Combinatorial Bandits,Purdue University West Lafayette,Purdue University West Lafayette,Purdue University West Lafayette,Iowa State University,,,,,,,,,,,,,,,,,,,4.0,0.0
1032,Boosting Image-based Mutual Gaze Detection using Pseudo 3D Gaze,Indiana University,Indiana University,Indiana University,Indiana University,Indiana University,Indiana University,Indiana University,,,,,,,,,,,,,,,,7.0,0.0
1033,Extreme k-Center Clustering," Google Research, NYC, New York, US"," Google Research, NYC, New York, US",ETH Zurich," Google Research, NYC, New York, US",,,,,,,,,,,,,,,,,,,1.0,0.0
1034,Ideography Leads Us to the Field of Cognition: A Radical-Guided Associative Model for Chinese Text Classification,University of Science and Technology of China,University of Science and Technology of China,Hefei University of Technology,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,,,,,,,,,,,,11.0,0.0
1035,Deep Recurrent Belief Propagation Network for POMDPs,Nanjing University of Aeronautics and Astronautics,Nanjing University of Aeronautics and Astronautics,,,,,,,,,,,,,,,,,,,,,2.0,0.0
1036,Towards Universal Physical Attacks on Single Object Tracking,Xi'an Jiaotong University,University of British Columbia,University of British Columbia,University of British Columbia,University of British Columbia,Xi'an Jiaotong University,Beijing Normal University,University of British Columbia,,,,,,,,,,,,,,,8.0,0.0
1037,A Sample-Efficient Algorithm for Episodic Finite-Horizon MDP with Constraints,University of Southern California,University of Southern California,University of Southern California,,,,,,,,,,,,,,,,,,,,3.0,0.0
1038,STELAR: Spatio-temporal Tensor Factorization with Latent Epidemiological Regularization,University of Minnesota,Cancer Genomics Centre,Cancer Genomics Centre,University of Virginia,Cancer Genomics Centre,Cancer Genomics Centre,Temple University,University of Illinois Urbana-Champaign,,,,,,,,,,,,,,,8.0,0.0
1039,PANTHER: Pathway Augmented Nonnegative Tensor Factorization for HighER-order Feature Learning,Northwestern University,Northwestern University,,,,,,,,,,,,,,,,,,,,,2.0,0.0
1040,Fair Influence Maximization: A Welfare Optimization Approach,University of Southern California,Harvard University,Harvard University,University of Southern California,RAND Corporation,RAND Corporation,University of Southern California,Harvard University,,,,,,,,,,,,,,,8.0,0.0
1041,Many-to-One Distribution Learning and K-Nearest Neighbor Smoothing for Thoracic Disease Identification,Southeast University,Beihang University,ETH Zurich,Inception Institute of Artificial Intelligence,,,,,,,,,,,,,,,,,,,4.0,0.0
1042,Towards Reusable Network Components by Learning Compatible Representations,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
1043,Scalable and Safe Multi-Agent Motion Planning with Nonlinear Dynamics and Bounded Disturbances,Massachusetts Institute of Technology,University of Southern California,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,,,,,,,,,,,,,,,,,,4.0,0.0
1044,Aggregated Multi-GANs for Controlled 3D Human Motion Prediction,Zhejiang Gongshang University,Jilin University,Nanyang Technological University,Jilin University,University of Science and Technology of China,Zhejiang University,,,,,,,,,,,,,,,,,6.0,0.0
1045,Efficient Querying for Cooperative Probabilistic Commitments,University of South Carolina,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,,,,,,,,,,,,,,,,,,,,3.0,0.0
1046,DirectQE: Direct Pretraining for Machine Translation Quality Estimation,Nanjing University,Nanjing University,Nanjing University,Nanjing University,Nanjing University," Tencent AI Lab, Shenzhen, Chin",Nanjing University,,,,,,,,,,,,,,,,6.0,1.0
1047,Quantum Cognitively Motivated Decision Fusion for Video Sentiment Analysis,The Open University,University of Padua,Queensland University of Technology,University of Padua,The Open University,The Open University,Beijing Institute of Technology,,,,,,,,,,,,,,,,7.0,0.0
1048,Signaling in Bayesian Network Congestion Games: the Subtle Power of Symmetry,Politecnico di Milano,Politecnico di Milano,Politecnico di Milano,Politecnico di Milano,,,,,,,,,,,,,,,,,,,4.0,0.0
1049,Differentially Private Decomposable Submodular Maximization,Northeastern University,Northeastern University,Northeastern University,Northeastern University,,,,,,,,,,,,,,,,,,,4.0,0.0
1050,"Ranking Sets of Defeasible Elements in Preferential Approaches to Structured Argumentation: Postulates, Relations, and Characterizations",TU Wien,Graz University of Technology,,,,,,,,,,,,,,,,,,,,,2.0,0.0
1051,Detecting Beneficial Feature Interactions for Recommender Systems,University of Melbourne,Tsinghua University,University of Melbourne,Hebei University of Technology,,,,,,,,,,,,,,,,,,,4.0,0.0
1052,Fair and Efficient Allocations with Limited Demands,University of Illinois at Chicago,University of Illinois at Chicago,,,,,,,,,,,,,,,,,,,,,2.0,0.0
1053,On the Optimal Efficiency of A * with Dominance Pruning,Aalborg University,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
1054,"Imagine, Reason and Write: Visual Storytelling with Graph Knowledge and Relational Reasoning",Shenzhen Institutes of Advanced Technology,Shenzhen Institutes of Advanced Technology,Shenzhen Institutes of Advanced Technology,Sun Yat-sen University,Institute of Computing Technology,Harbin Institute of Technology,Shenzhen University,,,,,,,,,,,,,,,,7.0,0.0
1055,Variational Inference for Learning Representations of Natural Language Edits,The University of Tokyo,The University of Tokyo,The University of Tokyo,,,,,,,,,,,,,,,,,,,,3.0,0.0
1056,Model-sharing Games: Analyzing Federated Learning Under Voluntary Participation,Cornell University,Cornell University,Cornell University,,,,,,,,,,,,,,,,,,,,3.0,0.0
1057,Learning Geometry-Disentangled Representation for Complementary Understanding of 3D Object Point Cloud,Shenzhen Institutes of Advanced Technology,Chinese Academy of Sciences,Chinese University of Hong Kong,Shenzhen Institutes of Advanced Technology,Chinese Academy of Sciences,Shenzhen Institutes of Advanced Technology,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Shenzhen Institutes of Advanced Technology,Chinese Academy of Sciences,Chinese University of Hong Kong,Shenzhen Institutes of Advanced Technology,Chinese Academy of Sciences,,,,,,,,,,13.0,0.0
1058,Towards Trustworthy Predictions from Deep Neural Networks with Fast Adversarial Calibration,Technical University of Munich,Technical University of Munich,,,,,,,,,,,,,,,,,,,,,2.0,0.0
1059,Very Important Person Localization in Unconstrained Conditions: A New Benchmark,Wuhan University of Science and Technology,The University of Tokyo,The University of Tokyo,The University of Tokyo,The University of Tokyo,Microsoft Research Asia (China),,,,,,,,,,,,,,,,,5.0,1.0
1060,Semantic Grouping Network for Video Captioning,Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science and Technology,,,,,,,,,,,,,,,,,,,4.0,0.0
1061,Discriminative Region Suppression for Weakly-Supervised Semantic Segmentation,Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science and Technology,,,,,,,,,,,,,,,,,,,,3.0,0.0
1062,Learned Extragradient ISTA with Interpretable Residual Structures for Sparse Coding,Xidian University,Xidian University,Xidian University,Peng Cheng Laboratory,Xidian University,Xidian University,Peking University,,,,,,,,,,,,,,,,7.0,0.0
1063,Infinite Gaussian Mixture Modeling with an Improved Estimation of the Number of Clusters,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
1064,GaussianPath:A Bayesian Multi-Hop Reasoning Framework for Knowledge Graph Reasoning,Wuhan University,Wuhan University,Wuhan University,Wuhan University,Wuhan University,Wuhan University,,,,,,,,,,,,,,,,,6.0,0.0
1065,FontRL: Chinese Font Synthesis via Deep Reinforcement Learning,Peking University,Peking University,,,,,,,,,,,,,,,,,,,,,2.0,0.0
1066,Training Binary Neural Network without Batch Normalization for Image Super-Resolution,Xidian University,Xidian University,Xidian University,Xidian University,Xidian University,Chongqing University of Posts and Telecommunications,,,,,,,,,,,,,,,,,6.0,0.0
1067,Addressing Action Oscillations through Learning Policy Inertia,Noah's Ark Children's Hospital for Wales,Noah's Ark Children's Hospital for Wales,Tianjin University,Noah's Ark Children's Hospital for Wales,Tianjin University,Noah's Ark Children's Hospital for Wales,Tianjin University,Tsinghua University,,,,,,,,,,,,,,,4.0,0.0
1068,Augmented Experiment in Material Engineering Using Machine Learning,Paris 13 University,Paris 13 University,Research Center in Industrial Technologies,,,,,,,,,,,,,,,,,,,,1.0,0.0
1069,Apparently Irrational Choice as Optimal Sequential Decision Making,University of Birmingham,University of Birmingham,University of Birmingham,Aalto University,,,,,,,,,,,,,,,,,,,4.0,0.0
1070,Deep Graph Spectral Evolution Networks for Graph Topological Evolution,George Mason University,George Mason University,George Mason University,Emory University,,,,,,,,,,,,,,,,,,,4.0,0.0
1071,Self-Supervised Sketch-to-Image Synthesis,"Rutgers, The State University of New Jersey"," Playform -Artrendex Inc., US",,,,,,,,,,,,,,,,,,,,,1.0,0.0
1072,DeepWriteSYN: On-Line Handwriting Synthesis via Deep Short-Term Representations,Autonomous University of Madrid,Autonomous University of Madrid,University of Applied Sciences and Arts Western Switzerland,Autonomous University of Madrid,Autonomous University of Madrid,Autonomous University of Madrid,,,,,,,,,,,,,,,,,6.0,0.0
1073,Learning Task-Distribution Reward Shaping with Meta-Learning," Dept. of Comp. Sci. & Tech., Institute for AI, BNRist Lab",Tsinghua University,The University of Tokyo," Dept. of Comp. Sci. & Tech., Institute for AI, BNRist Lab",Tsinghua University," Dept. of Comp. Sci. & Tech., Institute for AI, BNRist Lab",Tsinghua University," Dept. of Comp. Sci. & Tech., Institute for AI, BNRist Lab",Tsinghua University,,,,,,,,,,,,,,5.0,0.0
1074,Learning Intact Features by Erasing-Inpainting for Few-shot Classification,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,,,,,,,,,,,,,,,,,,,,3.0,0.0
1075,Trembling-Hand Perfection and Correlation in Sequential Games,Politecnico di Milano,Politecnico di Milano,,,,,,,,,,,,,,,,,,,,,2.0,0.0
1076,A Graph Reasoning Network for Multi-turn Response Selection via Customized Pre-training,Northeastern University,Northeastern University,Northeastern University,Alibaba Group (China),Northeastern University,Northeastern University,,,,,,,,,,,,,,,,,5.0,1.0
1077,Predictive Adversarial Learning from Positive and Unlabeled Data,Peking University,Peking University,University of Illinois at Chicago,Peking University,Peking University,Peking University,,,,,,,,,,,,,,,,,6.0,0.0
