Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,num_academia,num_company
92,TDAF: Top-Down Attention Framework for Vision Tasks,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Huazhong University of Science and Technology,Shanghai Jiao Tong University,Shanghai Jiao Tong University,,,,,,,,,,,,,,,,,6.0,0.0
93,Adversarial Turing Patterns from Cellular Automata,Skolkovo Institute of Science and Technology,Skolkovo Institute of Science and Technology,Skolkovo Institute of Science and Technology,Skolkovo Institute of Science and Technology,,,,,,,,,,,,,,,,,,,4.0,0.0
94,Decision-Guided Weighted Automata Extraction from Recurrent Neural Networks,Peking University,Monash University,Nanyang Technological University," Hangzhou Xinzhou Network Technology Co., Ltd., Chin",Kyushu University,Nanyang Technological University,Peking University,,,,,,,,,,,,,,,,5.0,1.0
95,Unsupervised Active Learning via Subspace Learning,Beijing Institute of Technology,Beijing Institute of Technology," Inspur Group Company Limited, China",China Coal Technology and Engineering Group Corp (China),University of Science and Technology of China,Beijing Institute of Technology,Beijing Institute of Technology,,,,,,,,,,,,,,,,5.0,0.0
96,Stratified Rule-Aware Network for Abstract Visual Reasoning,Beihang University,Beihang University,Beihang University,Beihang University,Beihang University,Beihang University,,,,,,,,,,,,,,,,,6.0,0.0
97,Reward-Biased Maximum Likelihood Estimation for Linear Stochastic Bandits,National Yang Ming Chiao Tung University,National Yang Ming Chiao Tung University,National Yang Ming Chiao Tung University,National Yang Ming Chiao Tung University,Texas A&M University,Texas A&M University,,,,,,,,,,,,,,,,,6.0,0.0
98,Fast and Compact Bilinear Pooling by Shifted Random Maclaurin,"Cognitive Computing Lab Baidu Research 10900 NE 8th St. Bellevue, WA 98004, US","Cognitive Computing Lab Baidu Research 10900 NE 8th St. Bellevue, WA 98004, US","Cognitive Computing Lab Baidu Research 10900 NE 8th St. Bellevue, WA 98004, US",,,,,,,,,,,,,,,,,,,,0.0,3.0
99,Bike-Repositioning Using Volunteers: Crowd Sourcing with Choice Restriction,National University of Singapore,National University of Singapore,National University of Singapore,,,,,,,,,,,,,,,,,,,,3.0,0.0
100,ERNIE-ViL: Knowledge Enhanced Vision-Language Representations through Scene Graphs,Ministry of Education of the People's Republic of China,Ministry of Education of the People's Republic of China,Ministry of Education of the People's Republic of China,Ministry of Education of the People's Republic of China,Ministry of Education of the People's Republic of China,Ministry of Education of the People's Republic of China,Ministry of Education of the People's Republic of China,,,,,,,,,,,,,,,,7.0,0.0
101,Bayesian Persuasion under Ex Ante and Ex Post Constraints *,Technion – Israel Institute of Technology,Technion – Israel Institute of Technology,Technion – Israel Institute of Technology,,,,,,,,,,,,,,,,,,,,3.0,0.0
102,Constructing a Fair Classifier with the Generated Fair Data,Purdue University West Lafayette,Southern University of Science and Technology,Purdue University West Lafayette,,,,,,,,,,,,,,,,,,,,3.0,0.0
103,Classification with Few Tests through Self-Selection,Duke University,University of Illinois at Chicago,Duke University,,,,,,,,,,,,,,,,,,,,3.0,0.0
104,Responsibility Attribution in Parameterized Markovian Models,TU Dresden,TU Dresden,Max Planck Institute for Software Systems,,,,,,,,,,,,,,,,,,,,3.0,0.0
