Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,num_academia,num_company
54,Comparing Agents' Success against People in Security Domains *,Bar-Ilan University,Bar-Ilan University,"University of Maryland, College Park",The University of Texas at Austin,,,,,,,,,4.0,0.0
55,Effective End-User Interaction with Machine Learning,University of Washington,Microsoft (United States),,,,,,,,,,,1.0,1.0
56,SemRec: A Semantic Enhancement Framework for Tag based Recommendation *,Victoria University,Aalborg University,The University of Tokyo,Aalborg University,Victoria University,Tokyo University of Science,,,,,,,6.0,0.0
57,Personalizing Your Web Services with Constructive DL Reasoning Join,University of Manchester,"Booth Street East, Manchester, U",,,,,,,,,,,1.0,0.0
58,Pushing the Power of Stochastic Greedy Ordering Schemes for Inference in Graphical Models,"Donald Bren School of Information and Computer Sciences University of California, Irvine Irvine, CA 92697, US","Donald Bren School of Information and Computer Sciences University of California, Irvine Irvine, CA 92697, US","Donald Bren School of Information and Computer Sciences University of California, Irvine Irvine, CA 92697, US","Donald Bren School of Information and Computer Sciences University of California, Irvine Irvine, CA 92697, US",,,,,,,,,4.0,0.0
59,Automatically Mapping Natural Language Requirements to Domain-Specific Process Models,University of Georgia,San Jose State University,San Jose State University,San Jose State University,,,,,,,,,4.0,0.0
60,Decentralised Control of Micro-Storage in the Smart Grid,Institute of Electronics and Computer Science,Institute of Electronics and Computer Science,Institute of Electronics and Computer Science,Institute of Electronics and Computer Science,Institute of Electronics and Computer Science,,,,,,,,5.0,0.0
61,Using Conditional Random Fields to Exploit Token Structure and Labels for Accurate Semantic Annotation,University of Southern California,University of Southern California,University of Southern California,,,,,,,,,,3.0,0.0
62,An Event-Based Framework for Process Inference,University of Alberta,,,,,,,,,,,,1.0,0.0
63,Using Neural Networks for Evaluation in Heuristic Search Algorithm,Chang Gung University,Chang Gung University,,,,,,,,,,,2.0,0.0
64,The Steiner Multigraph Problem: Wildlife Corridor Design for Multiple Species,Cornell University,Cornell University,University of Montana,University of Montana,University of Montana,Oregon State University,,,,,,,6.0,0.0
65,A Game-Theoretic Approach to Influence in Networks,Stony Brook University,Stony Brook University,,,,,,,,,,,2.0,0.0
66,Coordinated Multi-Agent Reinforcement Learning in Networked Distributed POMDPs,University of Massachusetts Amherst,University of Massachusetts Amherst,,,,,,,,,,,2.0,0.0
67,Leveraging Wikipedia Characteristics for Search and Candidate Generation in Question Answering,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,,,,,,,,,,,2.0,0.0
68,Cross-Language Latent Relational Search: Mapping Knowledge across Languages,The University of Tokyo,The University of Tokyo,The University of Tokyo,The University of Tokyo,,,,,,,,,4.0,0.0
69,Heuristic Search for Large Problems With Real Costs,University of New Hampshire,University of New Hampshire,University of New Hampshire,,,,,,,,,,3.0,0.0
70,A General Nogood-Learning Framework for Pseudo-Boolean Multi-Valued SAT,Brown University,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,,,,,,,,,,3.0,0.0
71,Fast Query Recommendation by Search,Tsinghua University,Tsinghua University,,,,,,,,,,,2.0,0.0
72,Modeling Player Retention in Madden NFL 11,"University of California, Santa Cruz",Electronic Arts (United States),"University of California, Santa Cruz","University of California, Santa Cruz",,,,,,,,,3.0,1.0
73,On the Effectiveness of Belief State Representation in Contingent Planning,New Mexico State University,New Mexico State University,New Mexico State University,,,,,,,,,,3.0,0.0
74,Logistic Methods for Resource Selection Functions and Presence-Only Species Distribution Models,"AT&T Labs -Research 180 Park Avenue, Florham Park, NJ 0793",University of Melbourne,,,,,,,,,,,1.0,1.0
75,Social Relations Model for Collaborative Filtering,Shanghai Jiao Tong University,Hong Kong University of Science and Technology,,,,,,,,,,,2.0,0.0
76,Automated Action Abstraction of Imperfect Information Extensive-Form Games,University of Alberta,University of Alberta,University of Alberta,,,,,,,,,,3.0,0.0
77,Dominating Manipulations in Voting with Partial Information,Duke University,Data61,Duke University,,,,,,,,,,3.0,0.0
78,Time Complexity of Iterative-Deepening A*: The Informativeness Pathology (Abstract),University of Alberta,University of Regina,University of Alberta,,,,,,,,,,3.0,0.0
79,A Framework for Integration of Logical and Probabilistic Knowledge,University of South Carolina,University of South Carolina,,,,,,,,,,,2.0,0.0
80,User-Controllable Learning of Location Privacy Policies with Gaussian Mixture Models,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,3.0,0.0
81,Quantity Makes Quality: Learning with Partial Views,University of Milan,"School of Computer Science & Engineering The Hebrew University, Israe",Microsoft Research New-England US,,,,,,,,,,1.0,0.0
82,Temporal Dynamics of User Interests in Tagging Systems,Lehigh University,Lehigh University,Lehigh University,Lehigh University,,,,,,,,,4.0,0.0
83,Extensible Automated Constraint Modelling,University of St Andrews,University of St Andrews,University of St Andrews,University of York,İzmir University of Economics,,,,,,,,5.0,0.0
84,On the Discovery and Utility of Precedence Constraints in Temporal Planning,Northeast Normal University,Northeast Normal University,Wuhan Institute of Technology,,,,,,,,,,3.0,0.0
85,Strategic Information Disclosure to People with Multiple Alternatives," General Motors Advanced Technical Center, Herzliya 46725, Israe",Bar-Ilan University,,,,,,,,,,,3.0,1.0
86,Branch and Price for Multi-Agent Plan Recognition,University of Southern Mississippi,University of Southern Mississippi,,,,,,,,,,,2.0,0.0
87,First-Order Logic with Counting for General Game Playing,French National Centre for Scientific Research,Institute of Computer Science,,,,,,,,,,,2.0,0.0
88,Emerging Applications for Intelligent Diabetes Management,Ohio University,Ohio University,Ohio University,Ohio University,Ohio University,,,,,,,,5.0,0.0
89,On the Complexity of BDDs for State Space Search: A Case Study in Connect Four,University of Bremen,,,,,,,,,,,,1.0,0.0
90,Co-Evolution of Selection and Influence in Social Networks,Marina Del Rey Hospital,Marina Del Rey Hospital,Marina Del Rey Hospital,,,,,,,,,,3.0,0.0
91,Hybrid Tractable Classes of Binary Quantified Constraint Satisfaction Problems,Northeast Normal University,Northeast Normal University,Northeast Normal University,,,,,,,,,,3.0,0.0
92,Partially Supervised Text Classification with Multi-Level Examples,Renmin University of China,Renmin University of China,"Microsoft Asian Research and Development Group, 100080, Beijing, China",Harbin Institute of Technology,Harbin Institute of Technology,,,,,,,,4.0,0.0
93,Parameterized Complexity of Problems in Coalitional Resource Games *,"University of Maryland, College Park","University of Maryland, College Park","University of Maryland, College Park",,,,,,,,,,3.0,0.0
94,Market Manipulation with Outside Incentives,,,,,,,,,,,,,0.0,0.0
95,Water Conservation Through Facilitation on Residential Landscapes,Department of Computer Science University of Colorado rhonda.hoenigman,Department of Computer Science University of Colorado rhonda.hoenigman,Department of EBIO University of Colorad,,,,,,,,,,3.0,0.0
96,An Intelligent System for Prolonging Independent Living of Elderly,Jožef Stefan Institute,,,,,,,,,,,,1.0,0.0
97,Green Driver: AI in a Microcosm,On Time Systems (United States),On Time Systems (United States),On Time Systems (United States),On Time Systems (United States),On Time Systems (United States),On Time Systems (United States),On Time Systems (United States),On Time Systems (United States),On Time Systems (United States),On Time Systems (United States),,,0.0,10.0
98,Continual Planning with Sensing for Web Service Composition,University of Groningen,University of Groningen,University of Groningen,,,,,,,,,,3.0,0.0
99,Solving Difficult CSPs with Relational Neighborhood Inverse Consistency,University of Nebraska–Lincoln,University of Nebraska–Lincoln,University of Nebraska–Lincoln,University of Montpellier,,,,,,,,,4.0,0.0
100,Planning in Domains with Cost Function Dependent Actions,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,2.0,0.0
101,Detecting Multilingual and Multi-Regional Query Intent in Web Search,Yahoo (United States),Yahoo (United States),Yahoo (United States),University of Southern California,,,,,,,,,1.0,3.0
102,Enhancing Semantic Role Labeling for Tweets Using Self-Training,Harbin Institute of Technology,Microsoft Research Asia (China),Chongqing University,Microsoft Research Asia (China),Chongqing University,,,,,,,,3.0,2.0
103,Bayesian Learning of Generalized Board Positions for Improved Move Prediction in Computer Go,Adventium Enterprises (United States),Adventium Enterprises (United States),Adventium Enterprises (United States),,,,,,,,,,3.0,0.0
104,WikiSimple: Automatic Simplification of Wikipedia Articles,University of Edinburgh,University of Edinburgh,,,,,,,,,,,2.0,0.0
105,A Large-Scale Study on Predicting and Contextualizing Building Energy Usage,"Computer Science and Artificial Intelligence Laboratory Massachusetts Institute of Technology Cambridge, MA 0213",Massachusetts Institute of Technology,,,,,,,,,,,1.0,0.0
106,Verifying Intervention Policies to Counter Infection Propagation over Networks: A Model Checking Approach,Iowa State University,Iowa State University,Iowa State University,Iowa State University,Iowa State University,,,,,,,,5.0,0.0
107,On Expressing Value Externalities in Position Auctions,Georgia Institute of Technology,Harvard University,Fachinstitut für Informatik und Grafikdesign,Harvard University,,,,,,,,,3.0,0.0
108,An Efficient and Complete Approach for Cooperative Path-Finding,University of Nevada Reno,University of Nevada Reno,,,,,,,,,,,2.0,0.0
109,Can Collective Sentiment Expressed on Twitter Predict Political Elections?,Wellesley College,Wellesley College,,,,,,,,,,,2.0,0.0
110,Efficient Issue-Grouping Approach for Multi-Issues Negotiation between Exaggerator Agents,Nagoya Institute of Technology,Massachusetts Institute of Technology,University of Cambridge,Nagoya Institute of Technology,,,,,,,,,4.0,0.0
