Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,num_academia,num_company
1248,Beyond Speech: Generalizing D-Vectors for Biometric Verification *,Assured Information Security (United States),Assured Information Security (United States),Assured Information Security (United States),Assured Information Security (United States),Assured Information Security (United States),,,,,,,,,,,,,,,,0.0,5.0
1249,Scalable Robust Kidney Exchange,"University of Maryland, College Park",University of Pittsburgh,"University of Maryland, College Park",,,,,,,,,,,,,,,,,,3.0,0.0
1250,A Hierarchical Framework for Relation Extraction with Reinforcement Learning,University of Computer Studies Yangon,Tsinghua University,Beijing Information Science & Technology University,University of Computer Studies Yangon,Tsinghua University,Beijing Information Science & Technology University,Tsinghua University,Tsinghua University,Beijing Information Science & Technology University,University of Computer Studies Yangon,Tsinghua University,Beijing Information Science & Technology University,,,,,,,,,12.0,0.0
1251,Deep Hierarchical Graph Convolution for Election Prediction from Geospatial Census Data,University of Sydney,University of Technology Sydney,University of Sydney,,,,,,,,,,,,,,,,,,3.0,0.0
1252,Y 2 Seq2Seq: Cross-Modal Representation Learning for 3D Shape and Text by Joint Reconstruction and Prediction of View and Word Sequences,Tsinghua University,"University of Maryland, College Park",Tsinghua University,Tsinghua University,Tsinghua University,"University of Maryland, College Park",,,,,,,,,,,,,,,6.0,0.0
1253,Bidirectional Inference Networks: A Class of Deep Bayesian Networks for Health Profiling,Massachusetts Institute of Technology,Columbia University,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,,,,,,,,,,,,,,6.0,0.0
1254,Ethically Aligned Mobilization of Community Effort to Reposition Shared Bikes,Jilin University,Hong Kong University of Science and Technology,Nanyang Technological University,Hong Kong University of Science and Technology,Jilin University,Hong Kong University of Science and Technology,,,,,,,,,,,,,,,6.0,0.0
1255,"""Reverse Gerrymandering"": Manipulation in Multi-Group Decision Making",Ben-Gurion University of the Negev,Hebrew University of Jerusalem,,,,,,,,,,,,,,,,,,,2.0,0.0
1256,Towards Sequence-to-Sequence Reinforcement Learning for Constraint Solving with Constraint-Based Local Search,Simula Research Laboratory,,,,,,,,,,,,,,,,,,,,1.0,0.0
1257,PVRNet: Point-View Relation Neural Network for 3D Shape Recognition,Tsinghua University,Xiamen University,Tsinghua University,"University of Maryland, College Park",Xiamen University,Tsinghua University,,,,,,,,,,,,,,,6.0,0.0
1258,On the Hardness of Probabilistic Inference Relaxations *,Indian Institute of Technology Bombay,National University of Singapore,University of Liverpool,,,,,,,,,,,,,,,,,,3.0,0.0
1259,Improving Domain-Specific Classification by Collaborative Learning with Adaptation Networks,South China University of Technology,City University of Hong Kong,South China University of Technology,City University of Hong Kong,City University of Hong Kong,South China University of Technology,City University of Hong Kong,,,,,,,,,,,,,,7.0,0.0
1260,Deception in Finitely Repeated Security Games,University of Oregon,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,,,,,,,,,,,,,,,,,4.0,0.0
1261,Solving Large Extensive-Form Games with Strategy Constraints,University of Alberta,University of Alberta,University of Alberta,,,,,,,,,,,,,,,,,,3.0,0.0
