Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,num_academia,num_company
72,A Low False Negative Filter for Detecting Rare Bird Species from Short Video Segments using a Probable Observation Data Set-based EKF Method *,Texas A&M University,Texas A&M University,,,,,,,,,,,,,,2.0,0.0
73,Learning Simulation Control in General Game-Playing Agents,Reykjavík University,Reykjavík University,,,,,,,,,,,,,,2.0,0.0
74,Integrating Transfer Learning in Synthetic Student,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,3.0,0.0
75,Materializing Inferred and Uncertain Knowledge in RDF Datasets,The University of Texas at Dallas,The University of Texas at Dallas,,,,,,,,,,,,,,2.0,0.0
76,Learning to Predict Opinion Share in Social Networks,Ryukoku University,University of Shizuoka,Aoyama Gakuin University,Osaka University,,,,,,,,,,,,4.0,0.0
77,Lifting Rationality Assumptions in Binary Aggregation,University of Amsterdam,University of Amsterdam,,,,,,,,,,,,,,2.0,0.0
78,First-Order Indefinability of Answer Set Programs on Finite Structures,South China Normal University,Western Sydney University,Western Sydney University,,,,,,,,,,,,,3.0,0.0
79,Community-Guided Learning: Exploiting Mobile Sensor Users to Model Human Behavior,Leibniz University Hannover,Leibniz University Hannover,Leibniz University Hannover,Leibniz University Hannover,Leibniz University Hannover,,,,,,,,,,,5.0,0.0
80,Smooth Optimization for Effective Multiple Kernel Learning,Cluster of Excellence Saarland Univ. & MPI In,University of Michigan–Ann Arbor,Information Analysis NEC Labs Americ,Chinese University of Hong Kong,Chinese University of Hong Kong,,,,,,,,,,,3.0,1.0
81,Market-Based Algorithms for Allocating Complex Tasks *,University of Southern California,University of Southern California,,,,,,,,,,,,,,2.0,0.0
82,Hidden Market Design,"School of Engineering & Applied Sciences Harvard University Cambridge, MA 0213",Microsoft (United States),"School of Engineering & Applied Sciences Harvard University Cambridge, MA 0213",,,,,,,,,,,,,0.0,1.0
83,Towards Applying Interactive POMDPs to Real-World Adversary Modeling,Lawrence Livermore National Laboratory,Lawrence Livermore National Laboratory,Lawrence Livermore National Laboratory,Lawrence Livermore National Laboratory,,,,,,,,,,,,4.0,0.0
84,A Trust Model for Supply Chain Management,"University of Maryland, Baltimore","University of Maryland, Baltimore",,,,,,,,,,,,,,2.0,0.0
